thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-9.890975231614903551e-01,-5.537505843275349580e-03,1.239967231365677047e-01,1.912265908454172103e-01,1.559430497620871159e-01,2.748884823576988601e-01,1.378999999999999915e+01,1.000000000000000000e+00
-9.910365873262845238e-01,1.336584026265027168e-02,1.412618463173712646e-01,2.375689833031950915e-01,1.502660847671078437e-01,3.082991108262094215e-01,1.379499999999999993e+01,1.000000000000000000e+00
-9.948523907910680197e-01,2.566502635183384728e-02,1.556299494599098776e-01,2.786441611572768040e-01,1.458650412359928372e-01,3.264605662131767061e-01,1.380000000000000071e+01,1.000000000000000000e+00
-9.998533626901542348e-01,4.132898244139508737e-02,1.742422216615778507e-01,3.242206023130351222e-01,1.334916735648081776e-01,3.648843000414041526e-01,1.380499999999999972e+01,1.000000000000000000e+00
-1.007949251932004797e+00,5.436291511051201397e-02,1.910188779783840718e-01,3.669299680353682591e-01,1.256382108213109083e-01,4.025107818110119640e-01,1.381000000000000050e+01,1.000000000000000000e+00
-1.018799926416774193e+00,7.123578978159769703e-02,2.109704032032110599e-01,4.287239767400263801e-01,1.142512216067170516e-01,4.433336754207466424e-01,1.381499999999999950e+01,1.000000000000000000e+00
-1.029884514240020144e+00,8.684878237130597145e-02,2.300553541549422709e-01,4.976600720860070992e-01,1.010200582000109482e-01,4.910591239782129414e-01,1.382000000000000028e+01,1.000000000000000000e+00
-1.033544834113854893e+00,1.014627152782126562e-01,2.451197867258676222e-01,5.667081978059133052e-01,8.842189401089105283e-02,5.376554615940993820e-01,1.382499999999999929e+01,1.000000000000000000e+00
-1.035039109008048630e+00,1.154508190076319191e-01,2.611669550170523935e-01,6.462099737974814628e-01,7.144655451125825341e-02,5.951558218694532609e-01,1.383000000000000007e+01,1.000000000000000000e+00
-1.038020955592735550e+00,1.334583443857775553e-01,2.729313286163433938e-01,7.236240376296561028e-01,5.737050618978287164e-02,6.452541882324135392e-01,1.383500000000000085e+01,1.000000000000000000e+00
