label_header;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;label_id
12.0120;-0.9944786;-0.0631476;0.0389162;0.0088780;0.0923665;0.0365163;8
12.0630;-0.9972474;-0.0570882;0.0311576;-0.0326675;0.0914026;0.0396506;8
12.1130;-0.9935387;-0.0657154;0.0387361;-0.0429173;0.0782801;0.0223011;8
12.1620;-0.9941809;-0.0540045;0.0370390;0.0009949;0.0730718;0.0194876;8
12.2130;-0.9871059;-0.0699957;0.0361922;0.0410615;0.0718988;-0.0084383;8
12.2620;-0.9938754;-0.0418616;0.0331680;0.0867798;0.0738827;-0.0193211;8
12.3130;-1.0004033;-0.0331608;0.0237796;-0.0098881;0.0959320;0.0287611;8
12.3630;-0.9707029;-0.0895666;-0.0330453;-0.0915624;0.1160421;-0.0487004;8
12.4120;-0.9996375;-0.0615693;0.0815527;-0.2156125;0.2508266;0.0055050;8
12.4630;-1.0070406;-0.0421083;0.1538494;0.1215885;0.2349727;0.0777814;8
12.5120;-0.9983773;-0.0098805;0.0605213;0.4439544;0.2372069;0.1763757;8
12.5630;-1.0417534;0.1447050;0.1290208;0.2313064;0.2090334;0.4126730;8
12.6130;-1.1097450;0.2081456;0.1812626;0.3835132;-0.0441377;1.1527860;8
12.6620;-1.3780052;0.4184044;0.0330506;0.9723043;-0.1409260;2.1891039;8
12.7130;-1.2423308;0.2075247;-0.0673679;1.0392961;-0.1426601;2.1287855;8
12.7620;-0.9675245;-0.0723065;-0.0530875;0.9270227;-0.2767219;1.5760533;8
12.8130;-0.7397462;0.0898911;-0.0489802;0.8945217;-0.0907194;1.1353697;8
12.8630;-0.6894459;0.0546892;-0.0261591;0.0694035;-0.1317027;0.5969356;8
12.9120;-0.7014518;0.1295550;-0.0536375;0.2426909;-0.1241697;0.0003414;8
12.9630;-0.8747786;0.5007983;-0.0763763;0.0282707;-0.3237634;-0.1270631;8
13.0120;-0.8496886;0.5147797;-0.0041402;-0.0166051;-0.3732250;-0.7184922;8
13.0630;-0.9230425;0.2753957;-0.1022980;-0.8162103;0.1039607;-1.0729973;8
13.1130;-1.0337901;0.4534270;0.1339350;-0.2493411;0.0796154;-0.5020674;8
13.1620;-0.9411732;0.2533166;-0.0281581;-0.1463656;0.0557055;-0.4692903;8
13.2130;-1.3502695;0.3542019;-0.0598113;-0.2685136;0.0725744;-0.2734882;8
13.2620;-0.9575813;0.2627113;0.1427310;0.1392432;-0.1757166;-0.1149280;8
13.3130;-0.9239226;0.1440774;0.1048035;-0.1957219;-0.2685073;-0.4661392;8
13.3630;-0.9957329;-0.0246299;0.0179862;0.0815052;-0.1586999;-0.6298455;8
13.4120;-0.9838144;0.0342856;-0.0262151;0.1190960;0.1017514;-0.4875253;8
13.4630;-0.9908694;0.0054252;0.2578626;-0.2536369;-0.0477728;-0.5831048;8
13.5120;-0.9607292;-0.0613570;0.2253206;-0.5190381;-0.0356876;-0.7439112;8
13.5630;-0.9792444;-0.0398028;0.1313758;-0.3751811;0.1418026;-0.8165339;8
13.6130;-0.9717351;-0.0873758;0.1620122;-0.2497143;0.1004923;-0.8592830;8
13.6620;-0.9645378;-0.0598546;0.1552797;-0.1887454;0.1786162;-0.8833304;8
13.7130;-0.9479784;-0.0652940;0.0953028;-0.3986543;0.2126725;-0.9552134;8
13.7620;-1.0125651;-0.0755420;0.0807981;-0.4705371;0.3340025;-0.8421899;8
13.8130;-1.0312876;-0.0522883;0.1675179;-0.7389921;0.3773975;-0.4994941;8
13.8630;-1.0253286;-0.0489699;0.1570776;-0.5339880;0.1019892;-0.2975441;8
13.9120;-0.9979707;-0.1143241;0.1746393;-0.7616196;0.1222794;-0.2191737;8
13.9630;-1.0914326;-0.1736601;0.2387139;-0.2364551;0.1384806;-0.0468664;8
14.0120;-1.1250599;-0.0894744;0.1740705;0.3952939;0.0476697;0.2135200;8
14.0630;-1.0591879;-0.0164571;0.0774691;0.4153767;0.1053653;0.4326046;8
14.1130;-1.0446220;0.0676660;-0.0411850;0.0878765;0.1594272;0.8400864;8
14.1620;-1.0390931;0.0864797;-0.0660835;-0.0831687;0.3264396;1.6983022;8
14.2130;-1.1644554;-0.0669224;0.0142811;0.1270995;0.0761643;2.0376554;8
14.2620;-1.1400406;-0.1601716;-0.1103762;0.3893121;0.0331436;1.9308019;8
14.3130;-1.0392035;-0.0236516;-0.0380726;0.3879818;-0.0883963;1.4688861;8
14.3630;-0.8958644;-0.0362009;-0.0498945;0.4159724;-0.1152001;1.0986590;8
14.4120;-0.8505876;-0.0080482;-0.0466473;0.5305138;-0.0927052;0.8027765;8
14.4630;-0.8342858;0.0577836;-0.0235542;0.3282021;-0.2095627;0.3969380;8
14.5120;-0.7896282;0.1383057;-0.0480945;0.3344167;-0.2233335;-0.0727225;8
14.5630;-0.9220471;0.3479140;0.0158473;-0.0221700;-0.1903185;-0.3557781;8
14.6130;-0.9894334;0.4649403;0.0260773;-0.0796358;-0.1876276;-0.3714172;8
14.6620;-0.9773320;0.3989429;-0.0110923;0.1406643;-0.0097693;-0.3119021;8
14.7130;-0.9380153;0.3520843;0.0339900;0.3379651;-0.0064844;-0.1535381;8
14.7620;-0.9350436;0.3009576;-0.0242499;-0.2228365;-0.1049802;-0.4162200;8
14.8130;-1.1843668;0.1370381;-0.0283259;-0.2123358;-0.0619696;-0.5318145;8
14.8630;-1.0676310;0.3235698;0.1245434;0.4035159;-0.0988614;-0.2236874;8
14.9120;-0.9015483;0.0891833;0.0612280;0.4316093;-0.3514840;-0.4213905;8
14.9630;-0.9829190;0.0056280;-0.0350097;-0.5478913;-0.0879930;-0.7462611;8
15.0120;-0.9738477;-0.0376746;0.1679999;-0.0451067;0.0312483;-0.8629929;8
15.0630;-0.9651495;0.0260786;0.0953013;0.0787383;0.0134693;-0.7679339;8
15.1130;-1.0000875;0.0601787;0.1716565;-0.2706566;-0.0002835;-0.7109724;8
15.1620;-0.9864205;0.0146796;0.1376482;-0.4371688;0.0150326;-0.5386401;8
15.2130;-0.9715590;-0.1029696;0.1267345;-0.4640278;-0.0129006;-0.5234323;8
15.2620;-0.9688356;-0.0883135;0.1568922;-0.3480391;0.0825236;-0.4871175;8
15.3130;-0.9717840;-0.0805546;0.1901280;-0.2289630;0.0761806;-0.5156287;8
15.3630;-0.9572845;-0.1002809;0.1966969;-0.1824289;0.1266331;-0.5832158;8
15.4120;-0.9890075;-0.0379846;0.1526215;-0.2366922;0.2203381;-0.5347695;8
15.4630;-0.9639627;-0.0864626;0.1884912;-0.5663317;0.1809708;-0.4182170;8
15.5120;-0.9743984;-0.1367868;0.1097956;-0.4171429;0.1804799;-0.2715352;8
15.5630;-0.9838462;-0.1574277;0.1298707;-0.4550415;0.0701645;-0.1428681;8
15.6130;-1.0089387;-0.1340321;0.0797550;-0.6450173;0.0673603;-0.1136121;8
15.6620;-1.1832426;-0.1050472;0.1969358;-0.5515666;0.1180002;-0.0265007;8
15.7130;-1.1474780;0.0066680;0.2521203;-0.0272477;0.1048191;0.3436028;8
15.7620;-1.0942400;0.0792573;0.0319950;0.6512021;0.0727994;1.0460971;8
15.8130;-1.0493570;0.1550455;-0.1670885;0.3404068;0.3337778;1.8210607;8
15.8630;-1.1276625;-0.0506673;-0.0012580;-0.6143350;0.0703007;1.8889473;8
15.9120;-1.1616197;-0.2482956;0.2448199;0.0326181;-0.1966495;1.7938789;8
15.9630;-1.0655203;-0.0722641;0.0603239;1.2751262;-0.2928025;1.5067706;8
16.0120;-0.9733014;0.0705598;-0.1142234;1.0478231;-0.2200404;1.3051568;8
16.0620;-0.8795487;0.0336260;-0.0183610;0.4775144;-0.2614176;0.9404352;8
16.1130;-0.7763562;0.0096394;-0.0380678;0.3633991;-0.1322950;0.4814461;8
16.1630;-0.6896571;0.0667288;-0.0559285;-0.0208858;-0.1206894;-0.1534173;8
16.2120;-0.8080875;0.2245460;0.1039799;0.3783149;-0.1171138;-0.7888820;8
16.2620;-1.0554791;0.6387988;0.0473963;0.1047158;-0.0854878;-0.5211047;8
16.3120;-1.0602911;0.6263599;0.0834328;-0.0771707;0.1438988;-0.2210332;8
16.3630;-0.8915784;0.3040914;0.0352029;0.2417138;-0.0590018;-0.1153804;8
16.4130;-1.1519514;0.0323495;-0.0690873;-0.3618955;0.1142056;-0.6074045;8
