time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
28,-9.72,0.65,0.71,-2.875,1.0,0.4375,-9.75,-0.05,1.23,-2.9375,-0.9375,0.625
134,-9.68,0.52,0.8,-2.4375,1.375,0.0625,-9.63,-0.03,1.39,-2.375,-2.75,1.1875
227,-9.6,0.26,0.64,-4.3125,1.625,0.9375,-9.77,-0.18,1.23,-7.75,-4.75,2.0
332,-9.65,0.8,0.46,-2.25,0.4375,0.4375,-9.67,0.3,1.46,2.5625,4.6875,-1.0625
431,-9.69,0.61,0.55,6.4375,0.8125,0.1875,-9.84,-0.08,1.49,5.8125,2.5,-1.1875
532,-9.54,0.26,0.5,0.8125,2.5625,1.875,-9.47,-0.36,0.94,-2.125,0.0,-0.5
630,-9.63,0.4,0.61,-16.125,4.625,1.5625,-10.02,-0.08,0.95,-8.875,1.0,0.25
729,-9.66,0.62,0.32,-3.6875,0.3125,0.0625,-9.62,-0.2,1.34,-8.25,-1.625,1.0625
827,-9.74,0.76,0.49,-2.75,1.0625,-0.25,-9.78,0.19,1.29,-1.25,0.625,-1.0
930,-9.72,0.57,0.44,3.0,-1.375,-0.75,-9.79,-0.2,1.45,5.125,0.5,0.125
1032,-9.72,0.56,0.72,-0.0625,1.75,0.3125,-9.74,0.05,1.37,2.6875,2.125,-1.3125
1130,-9.7,0.89,0.62,4.0625,-0.4375,-1.3125,-9.74,-0.03,1.42,4.8125,1.25,-1.125
1231,-9.69,0.28,0.31,3.1875,0.1875,-0.5625,-9.86,-0.46,0.78,0.75,-3.0625,0.5
1329,-9.73,0.54,0.3,-2.0625,-0.125,-0.0625,-9.73,0.02,1.0,1.5,1.625,0.1875
1429,-9.73,0.61,0.52,-2.5625,-0.9375,0.125,-9.72,-0.23,1.09,-3.625,-2.25,0.5
1529,-9.67,0.56,0.65,-8.1875,-1.125,0.25,-9.67,-0.03,1.25,-4.0625,-0.625,1.5625
1633,-9.71,0.65,0.41,-2.25,-0.625,0.1875,-9.7,0.17,1.58,-2.3125,-1.6875,0.1875
1729,-9.69,0.7,0.48,7.125,-2.8125,-1.375,-9.73,0.04,1.26,5.1875,-3.25,-0.375
