time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
65,-0.983,0.119,0.051,0.12778,-0.01889,-0.01,-0.996,-0.037,0.091,0.13444,0.00222,-0.02333
164,-0.987,0.095,0.076,0.00222,0.02,0.00333,-0.996,-0.047,0.075,-0.02889,0.00667,-0.00333
264,-0.981,0.15,0.041,-0.03667,0.00667,-0.00333,-0.996,0.003,0.102,-0.03444,0.00333,-0.00111
364,-0.991,0.13,0.048,0.07222,-0.01444,-0.01,-0.999,-0.016,0.094,0.08333,0.00333,-0.00778
466,-0.979,0.112,0.065,0.05667,-0.01444,-0.00667,-1.0,-0.075,0.045,-0.07,-0.01,0.00333
568,-0.984,0.119,0.045,0.03222,0.0,0.00556,-0.983,0.021,0.08,-0.08222,-0.02111,0.0
663,-0.987,0.129,0.054,0.06778,-0.02,-0.00444,-1.002,-0.03,0.074,0.08556,0.01889,-0.00444
768,-0.981,0.119,0.063,-0.00889,-0.01333,-0.00111,-0.989,-0.021,0.089,0.03222,-0.01,0.01111
863,-0.98,0.125,0.058,-0.01,-0.00333,0.00111,-0.999,-0.008,0.083,-0.03667,-0.01667,0.00333
967,-0.988,0.121,0.057,-0.01,-0.00556,0.0,-0.998,-0.022,0.093,0.02,-0.00111,0.00111
1065,-0.986,0.125,0.066,-0.02333,-0.00667,0.0,-0.994,-0.008,0.093,-0.03444,-0.00778,0.00333
1166,-0.985,0.125,0.057,-0.03,-0.00667,0.0,-1.0,-0.02,0.092,-0.01,-0.00444,0.00556
1265,-0.984,0.128,0.052,-0.02444,-0.00556,0.0,-0.997,-0.007,0.096,-0.04222,-0.01333,0.00444
1366,-0.987,0.127,0.06,-0.00889,-0.00333,0.00111,-1.0,-0.022,0.098,0.00778,0.00111,0.0
1466,-0.981,0.124,0.071,-0.01,-0.01,0.0,-0.997,-0.017,0.095,-0.01889,-0.00778,0.00222
1564,-0.982,0.125,0.062,-0.00556,0.00111,0.0,-1.0,-0.015,0.094,-0.01778,0.0,0.00111
