time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
82,0.979,0.07,-0.148,-0.02556,0.0,0.00111,0.996,0.083,0.081,-0.02444,0.0,-0.01
182,0.982,0.065,-0.145,-0.01444,0.00111,0.0,0.997,0.076,0.095,-0.02111,0.0,-0.00667
287,0.982,0.072,-0.143,0.01333,0.00333,-0.01,1.0,0.074,0.091,0.00444,0.0,-0.01
383,0.983,0.062,-0.151,0.01,0.00444,-0.00667,0.998,0.081,0.089,0.01889,0.0,-0.00889
489,0.979,0.057,-0.156,0.0,-0.00111,0.0,1.003,0.072,0.085,0.02222,0.00111,0.01
589,0.979,0.059,-0.151,0.00333,0.0,-0.00111,0.997,0.078,0.088,0.0,-0.00222,-0.00444
683,0.98,0.062,-0.148,0.00222,0.0,0.0,0.997,0.077,0.085,0.00444,-0.00222,0.00222
786,0.98,0.063,-0.15,0.00889,-0.00111,0.0,0.995,0.076,0.089,0.00778,-0.00333,0.00111
884,0.981,0.06,-0.146,0.00333,-0.00111,0.00222,0.998,0.08,0.09,-0.00556,0.0,0.00333
987,0.979,0.063,-0.144,-0.01333,-0.00333,0.00444,0.999,0.078,0.089,-0.01667,-0.00333,-0.00222
1090,0.98,0.066,-0.141,-0.00556,-0.00333,0.0,0.996,0.074,0.094,-0.00222,-0.00333,0.00222
1192,0.983,0.064,-0.139,0.02111,0.00111,-0.00333,0.999,0.081,0.094,0.02667,0.0,0.00889
1284,0.981,0.06,-0.152,0.00333,-0.00111,0.0,0.999,0.083,0.09,0.00778,0.00111,0.00444
1387,0.984,0.063,-0.141,-0.00111,0.00333,0.0,0.998,0.079,0.098,0.0,0.00111,0.00667
1485,0.979,0.063,-0.145,0.01333,0.00556,-0.00889,0.998,0.08,0.089,0.00111,0.00111,-0.00222
1586,0.978,0.063,-0.149,-0.01,0.0,0.0,0.998,0.078,0.088,0.00333,0.00111,0.00111
1683,0.981,0.063,-0.145,-0.01111,-0.00111,-0.00222,1.0,0.08,0.093,-0.01222,0.00111,0.0
1786,0.983,0.062,-0.139,-0.00667,0.0,0.00444,0.998,0.073,0.092,-0.00222,-0.00111,0.0
1885,0.984,0.06,-0.14,0.01889,0.00444,-0.00333,0.998,0.07,0.1,0.03111,0.0,0.00444
1984,0.977,0.052,-0.144,0.05222,0.00333,0.00556,0.996,0.071,0.103,0.08556,0.01,0.03222
2083,0.984,0.052,-0.147,0.03444,0.01,-0.00667,1.0,0.087,0.078,0.04889,0.0,-0.00556
2184,0.978,0.077,-0.15,-0.03,0.00222,0.01111,0.993,0.092,0.075,-0.04,-0.00556,-0.02
2280,0.978,0.072,-0.145,-0.03778,0.0,0.00556,0.997,0.086,0.088,-0.03444,0.00222,0.00556
2384,0.98,0.052,-0.146,-0.03889,-0.00222,0.00444,0.998,0.074,0.089,-0.03778,-0.00111,0.0
2482,0.981,0.058,-0.132,-0.02222,-0.00556,0.00222,1.0,0.074,0.113,-0.05667,0.0,-0.02889
2581,0.982,0.068,-0.13,-0.00667,0.00778,-0.00222,0.992,0.073,0.094,0.01,0.0,-0.01222
2672,0.982,0.057,-0.15,0.02889,0.00889,0.0,0.998,0.062,0.085,0.06,0.00444,0.00889
2780,0.979,0.06,-0.162,0.02889,0.00444,-0.00444,0.997,0.082,0.08,0.00556,0.00333,0.0
2876,0.979,0.063,-0.148,-0.01333,-0.00444,0.00667,0.999,0.082,0.083,-0.02333,0.0,0.00667
2968,0.984,0.062,-0.142,-0.02,-0.00556,0.00444,0.997,0.075,0.09,-0.02,-0.00667,0.0
3081,0.985,0.065,-0.138,0.0,-0.00111,0.0,1.0,0.074,0.098,0.00778,-0.00556,-0.00556
3183,0.98,0.057,-0.146,0.01889,-0.00222,-0.00444,1.0,0.075,0.096,0.03111,0.00111,0.00556
3270,0.983,0.053,-0.148,0.02,0.00111,-0.00222,1.0,0.075,0.091,0.01,0.00222,0.00111
3378,0.979,0.056,-0.145,0.00222,0.00222,0.0,0.999,0.073,0.087,0.01,0.0,0.0
3481,0.986,0.055,-0.145,-0.01444,0.0,0.00222,0.996,0.08,0.092,-0.01778,0.0,-0.00111
3581,0.983,0.063,-0.148,-0.01,-0.00111,0.01222,1.003,0.075,0.09,-0.00222,0.00333,0.01
3680,0.977,0.067,-0.145,-0.02778,-0.00444,0.00222,0.991,0.084,0.089,-0.03889,0.0,-0.00222
3780,0.983,0.067,-0.134,-0.01,0.00667,0.0,1.0,0.074,0.098,-0.00111,0.00222,-0.01
3881,0.974,0.05,-0.162,-0.01,0.00222,0.00111,1.0,0.078,0.078,-0.01,-0.00444,-0.02778
