Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label
58.26;-0.99746054;1.078185192;2.073550689;-1.213664694;2.377961082;-1.863313784;-1.188257935;0.362236627;-0.138441153;-0.620497885;1.849060129;-0.730066915;-1.452400588;-0.206825094;0.22119677;-0.670361202;0.152407809;3.381108477;-1.107288327;0.350799191;-0.050142159;-0.626088787;-0.234822729;0.699793118;idle
58.36;-0.293591777;0.444200092;0.98232116;-0.975085808;-5.227856926;0.95157156;-0.428461418;0.319506488;0.073013275;-1.474746526;-2.40000572;-0.360315451;-1.070079917;-0.385202686;0.136380843;-0.506915514;0.853871621;2.741797428;-0.911764577;0.036462549;0.03394952;-1.704357622;0.02753649;-0.070517745;idle
58.46;-1.108678455;0.578742138;0.752709736;-0.195213801;-5.913543805;0.569884982;-1.186709872;0.2606549;-0.499050664;-2.225480547;-5.260778222;-0.406578953;-0.760991198;-0.314187659;0.21555582;-1.160918435;0.739201289;1.040402011;-0.856964631;-0.111573979;0.05164113;-2.526025863;0.044626592;0.30052789;idle
58.56;-2.444359547;0.838661845;0.187936746;-0.711259256;-1.024257246;5.917747255;-1.584371016;0.69975987;-0.990214602;-3.503806191;-4.516019697;-0.58211776;-0.933908529;0.19797281;0.292447014;-2.878200449;0.049716195;0.142360568;-0.95344992;0.093055079;0.200578842;-2.243922804;-0.050722885;0.417917628;idle
58.66;-2.284660392;-0.525622659;-0.613766278;-1.416291777;1.727154326;1.709355727;-0.843789384;0.148876206;-1.339849807;-2.285688771;0.288205118;0.143426185;-0.92578101;0.330913756;0.261595575;-2.239192349;0.087716763;0.634478673;-0.981104251;-0.00804268;0.150249749;-1.51414516;-0.068138088;0.187022397;idle
58.76;-0.950224595;0.088434079;0.856318907;0.340767057;-0.190373528;0.220248985;-1.231142076;-0.142998444;-0.416358127;0.098738873;2.011565304;0.505004863;-1.112608925;-0.269219834;0.415703256;-0.130300831;0.491473902;-0.084362553;-1.128715891;0.222226781;0.164623706;-1.132785875;0.179960935;-0.188600328;idle
58.86;-0.625806622;0.165974973;0.871664596;0.193010207;0.018369332;0.26361555;-1.042548481;0.133414132;-0.105189389;-0.128211744;0.858183429;0.367004119;-1.047009466;-0.145171982;0.124727319;-0.260425278;0.392594146;-0.755600082;-1.074928402;0.094430308;-0.165511666;-0.628084302;0.331401108;-0.125435645;idle
58.96;-0.561080769;0.14239239;0.801855542;-0.172367877;0.042220613;-0.021118237;-1.078780116;0.016037096;-0.218806407;-0.364629871;0.200993816;0.133591523;-1.073565348;-0.147825603;0.186112395;-0.470602006;0.188146585;-0.843020644;-1.027738058;0.231702667;0.07530427;-0.767453487;0.158032389;0.3258966;idle
59.06;-0.598917631;0.137583593;0.805991227;0.135512515;0.163968405;-0.086228553;-0.919425177;0.078510828;-0.115595963;0.109394969;-0.108228191;0.089625919;-0.89680953;-0.002600854;0.154160783;0.042867214;0.055027971;-0.683810104;-0.849847733;0.211831582;0.024652669;0.009901477;0.192651353;0.132386964;idle
59.16;-0.574529327;0.120824727;0.81047499;-0.292160913;-0.900979519;-0.279309779;-0.938596493;0.053608379;-0.142172671;-0.325381981;-0.147531444;0.011425738;-0.922036963;-0.156152171;0.202346221;-0.407139282;-0.002007006;-0.777151372;-0.914402825;0.141518384;-0.017753098;0.302718708;0.059465628;-0.348499021;idle
