Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label;
0;-0.256073907;-0.028851995;0.973405123;0.104436748;0.012774539;0.036495491;-0.999980381;-0.05863516;0.069279754;0.091158987;0.012273866;-0.007648649;-0.999898091;-0.050895225;-0.079566831;0.091225926;-0.032048465;0.006793431;-0.965442877;-0.0419394;0.248789979;-0.032941982;0.000310696;0.014555676;stand;0
0.1;-0.260676104;-0.050799271;0.959896937;0.095080052;0.00383271;0.03179699;-0.995309082;-0.046447065;0.079527695;0.087801749;0.005726434;-0.003175737;-0.995150305;-0.056424291;-0.084362605;0.087237659;-0.00418147;0.010441619;-0.956547749;-0.044253884;0.24793349;-0.000751367;-0.060508812;0.01224487;stand;0
0.2;-0.257020586;-0.046924067;0.968449715;0.16231152;0.027699831;0.045270743;-0.991953369;-0.059644825;0.069845557;0.146628622;0.014610085;-0.016163164;-0.989554643;-0.042365644;-0.071182119;0.147377341;-0.04351172;0.006322651;-1.001247507;-0.046832665;0.221470833;-0.005829833;0.005243189;0.000944592;stand;0
0.3;-0.248427163;-0.093729661;0.95486669;0.096204497;0.015664351;0.029922449;-0.998302474;-0.041688072;0.078943606;0.082056757;0.005776461;-0.011904711;-0.998629556;-0.069040528;-0.09075054;0.082910904;-0.042374755;0.000282449;-0.951530096;-0.050862578;0.249661704;-0.028760539;0.041676253;0.011482917;stand;0
0.4;-0.255575336;-0.063899032;0.97026625;0.000721914;0.008976635;0.028680063;-0.99432025;-0.060933415;0.074320071;-0.022568358;-0.000309979;-0.001799328;-0.995912391;-0.045967421;-0.05461202;-0.022069241;-0.012563729;-0.00508086;-0.972557611;-0.043913979;0.239884645;-0.019020777;0.003283952;-0.011625248;stand;0
0.5;-0.246611047;-0.087994345;0.960571952;-0.044663251;-0.011150907;-0.012534327;-0.997119256;-0.053182223;0.074095198;-0.047847069;-0.010636644;-0.00269763;-0.996849426;-0.063340815;-0.079141374;-0.046967919;0.002846804;-0.009538801;-0.964578447;-0.044463269;0.245755191;-0.000465312;0.001240004;0.003330607;stand;0
0.6;-0.239155749;-0.101727628;0.959807776;-0.103676675;-0.02234242;-0.03743976;-1.005758628;-0.059400366;0.059048188;-0.098326787;-0.026499223;-0.000919644;-1.001014949;-0.079919393;-0.10976606;-0.09713188;0.037971038;-0.015402132;-0.963914193;-0.044739606;0.246041131;-0.001770426;-0.024549449;-0.001865412;stand;0
0.7;-0.294305269;0.027530412;0.985055116;0.088048632;0.021836774;0.027742458;-0.975462771;-0.058156289;0.107161389;0.07628197;0.025782074;-0.008920245;-0.988997422;0.00128333;0.024542573;0.076817976;-0.036309962;0.002144472;-0.980071541;-0.056188347;0.237870866;-0.001648886;-0.003368035;-0.014007928;stand;0
0.8;-0.166681704;-0.241093452;0.907324814;-0.599215265;-0.153664017;-0.206177034;-1.042191733;-0.057620227;0.003500149;-0.544785802;-0.155967297;0.026465613;-1.011872176;-0.202225262;-0.299212194;-0.54189373;0.192136507;-0.062744179;-0.957465515;-0.02958828;0.236657989;0.00323715;-0.013254662;0.035299239;stand;0
0.9;-0.38357153;0.26430077;1.008712942;-0.250351543;-0.048589778;-0.107235558;-0.925544363;-0.067503181;0.196346809;-0.207797129;-0.049016891;0.013728108;-0.981075682;0.108267573;0.212357552;-0.206710908;0.075048286;-0.024973972;-0.979079298;-0.063870048;0.239877336;0.00408517;-0.009264695;-0.015722624;stand;0
1;-0.218019907;-0.126083009;0.933603016;1.040698624;0.216549843;0.391537149;-1.019558735;-0.063244427;0.041674326;0.903181533;0.244629589;-0.056446477;-1.004869657;-0.138658624;-0.186288525;0.900136017;-0.266783742;0.093870861;-0.950918995;-0.036843137;0.246511527;0.006427403;-0.056298759;-0.037511932;stand;0
1.1;-0.187997825;-0.208869088;0.918462083;-0.760690019;-0.182756603;-0.267961286;-1.033020086;-0.058340987;0.018260515;-0.675577557;-0.157284509;0.042816645;-1.00706846;-0.172354521;-0.255642209;-0.673716156;0.22534759;-0.065708203;-0.973224687;-0.053547749;0.230366702;0.052960019;-0.113693;0.01807295;stand;0
1.2;-0.315559985;0.161167378;0.969619239;-1.251423291;-0.253693629;-0.444886145;-0.971502251;-0.067124396;0.117564727;-1.055045372;-0.290080941;0.097763882;-0.988686988;-0.007552349;-0.008339893;-1.052198009;0.356071876;-0.125088776;-0.981515904;-0.069238056;0.223449052;-0.062803045;-0.01880273;0.030906953;stand;0
1.3;-0.376270465;0.271914057;0.96672205;0.017737103;0.002443191;-0.021456182;-0.933076875;-0.061308589;0.202264321;0.027421006;0.014613332;-0.008206377;-0.980479419;0.068457024;0.095253104;0.028632856;-0.00551276;-0.001445546;-0.984857688;-0.043541915;0.219712927;-0.141205124;-0.036028678;0.045078394;stand;0
1.4;-0.195465455;-0.092499223;0.901513455;2.12831352;0.469875943;0.730476774;-1.038615662;-0.071340152;0.008266052;1.869457192;0.478516029;-0.131589019;-1.020993977;-0.200851801;-0.244220246;1.862419006;-0.603060606;0.216840838;-0.989503892;-0.040551794;0.204320267;-0.115833074;0.056536196;0.030586604;stand;0
1.5;-0.252505581;-0.076037333;0.958072343;-0.375011572;-0.071290524;-0.108679476;-0.991042732;-0.042953506;0.080280598;-0.353708417;-0.066685485;0.017948667;-0.994196769;-0.048666722;-0.060921033;-0.352723554;0.07082609;-0.032049028;-0.954402918;-0.035629939;0.226557888;-0.025684347;0.018047879;0.003514727;stand;0
1.6;-0.246550027;-0.086818511;0.966498449;0.113585437;0.010018262;0.055541744;-1.001618572;-0.066463703;0.063735645;0.081006858;0.022871333;-0.011987196;-0.999680312;-0.065426013;-0.082350599;0.081886936;0.007787679;-8.55E-05;-0.962134333;-0.042499675;0.23109354;0.01275327;-0.053092985;-0.003377138;stand;0
1.7;-0.256172642;-0.071311291;0.960878695;-0.081665525;-0.015385624;-0.020000651;-0.994593788;-0.049514052;0.071357792;-0.09005161;-0.003248007;-0.005221946;-0.992328045;-0.05558205;-0.084858755;-0.08831112;0.016948211;-0.018393878;-0.984805554;-0.056142556;0.222827151;-0.005879906;-0.040682494;0.000171249;stand;0
1.8;-0.254219609;-0.065337995;0.967579591;-0.004457208;-0.016163952;-0.003830173;-0.997619466;-0.067419249;0.05533628;-0.011459264;-0.033909663;-0.009300097;-0.99389932;-0.058390951;-0.088045905;-0.009943871;0.010466602;-0.010853762;-0.984730552;-0.042102157;0.211032884;0.022922307;0.002462235;-0.010933949;stand;0
1.9;-0.253281267;-0.085475725;0.958940495;-0.012068128;-0.007566161;0.003716952;-0.994992404;-0.056607744;0.083262837;-0.018901413;-0.043686358;-0.003128412;-0.995700999;-0.072272379;-0.084481436;-0.018188806;0.009133144;-0.006097402;-0.968553429;-0.061964151;0.220465839;0.028399452;0.034524784;-0.00724234;stand;0
2;-0.269849282;-0.029664596;0.973601844;-0.007577276;0.011626497;-0.006832858;-0.984784594;-0.066924703;0.09806373;-0.005101361;0.022021381;-0.000671767;-0.993915891;-0.039135914;-0.023451168;-0.004909038;-0.021497028;-0.001686494;-0.977662941;-0.054924482;0.212131537;-0.022761386;-0.004955468;-0.007986774;stand;1
2.1;-0.226562419;-0.144616197;0.945819624;0.122690049;0.017055331;0.033732646;-1.01404324;-0.05826909;0.045532108;0.118802644;0.017212269;-0.004078002;-1.002314068;-0.108167254;-0.160138797;0.118094836;-0.023171229;0.013636327;-0.970382977;-0.037561204;0.221190247;0.008360434;0.021025824;0.009401425;stand;1
2.2;-0.270743441;-0.002149492;0.96391213;-0.882096316;-0.175672107;-0.299104913;-0.988156757;-0.057726812;0.086711409;-0.78706667;-0.195254936;0.053774775;-0.991687923;-0.044665365;-0.060866921;-0.784704013;0.239081803;-0.080956173;-0.979181606;-0.056751843;0.222595996;0.016082842;-0.005839074;0.004152875;stand;1
2.3;-0.292620087;0.049421168;0.975946955;0.422106283;0.083074972;0.131960054;-0.984316235;-0.063346143;0.10173663;0.378204705;0.067106556;-0.033968303;-0.994191488;-0.026070026;-0.037390401;0.378021814;-0.083333899;0.036283133;-0.966373982;-0.045088597;0.227496934;-0.015100697;0.01109646;-0.008701472;stand;1
2.4;-0.259897095;-0.052211779;0.957639596;0.274317969;0.060423034;0.118515162;-0.985425795;-0.061460446;0.106879205;0.228803313;0.085187607;-0.01235947;-0.98923781;-0.067145127;-0.06648296;0.227607098;-0.114746075;0.026410327;-0.980734371;-0.047353406;0.217543925;0.015522901;-0.001455605;-0.021717767;stand;1
2.5;-0.237798621;-0.096608488;0.962928582;0.182967111;0.057738635;0.041216838;-1.009958954;-0.062011159;0.044327607;0.176885633;0.071357495;-0.013926506;-1.002758357;-0.078686282;-0.122882311;0.17697158;-0.075272117;0.01263062;-0.972920643;-0.051559667;0.222122337;-0.005913765;0.012613879;-0.016245756;stand;1
2.6;-0.258431297;-0.064062547;0.957636282;-0.395903113;-0.09609846;-0.138677035;-0.990440671;-0.064223245;0.086664841;-0.348938046;-0.120958715;0.02435689;-0.994310968;-0.070329836;-0.069645758;-0.348464943;0.155576248;-0.030891666;-0.974851245;-0.042523303;0.215217313;-0.007177848;0.00101523;0.020118403;stand;1
2.7;-0.257182214;-0.052841814;0.967371329;0.329524878;0.076541112;0.1188995;-0.997986285;-0.058596035;0.07293217;0.301397534;0.10511695;-0.0066493;-0.997886362;-0.053484825;-0.078577786;0.298642887;-0.122386551;0.041060595;-0.97334733;-0.045608908;0.22486757;0.025788848;0.046704496;0.003005142;stand;1
2.8;-0.256082479;-0.075479356;0.962952034;-0.020175835;0.005196164;-0.001085662;-0.995105078;-0.054077547;0.074008825;-0.018937681;0.000822807;0.004052401;-0.994730343;-0.063932134;-0.084035216;-0.019334076;0.032828214;0.00116003;-0.968750285;-0.050837355;0.231653006;-0.016539464;-0.012535845;0.004036748;stand;1
2.9;-0.246877623;-0.076430054;0.963437482;0.005321183;0.004770462;0.018044707;-0.996176627;-0.063472442;0.069810512;-0.001711518;0.00280779;0.005453855;-0.994571986;-0.061305614;-0.080942171;-0.002514579;0.004705518;0.005133237;-0.983504974;-0.053103067;0.221210183;0.009836479;0.026618857;-0.021153011;stand;1
3;-0.256437208;-0.067059634;0.964857913;-0.064302708;-0.013085128;0.018148138;-0.996219539;-0.05757862;0.075594667;-0.074289728;-0.011990502;0.017878764;-0.996929191;-0.059679894;-0.077207274;-0.076153083;0.027497535;0.006337881;-0.965560167;-0.03817376;0.231576164;0.008827647;0.029764706;-0.005347528;stand;1
3.1;-0.255558035;-0.057893301;0.967290882;0.035497963;0.014527943;0.010330671;-0.991212167;-0.057121511;0.076464656;0.041016464;0.021737004;0.005613609;-0.992060203;-0.04709168;-0.0672589;0.03965843;0.001441305;0.011851559;-0.967580159;-0.049189192;0.235545184;0.007674357;0.008224956;-0.012956656;stand;1
3.2;-0.240202453;-0.08409708;0.963864095;0.007584354;0.000375042;-0.001368684;-1.002401379;-0.056827878;0.066269971;0.014589667;0.015781568;0.005032531;-0.999891964;-0.064805592;-0.095314238;0.013655407;0.009202499;0.007196418;-0.967618288;-0.035754037;0.239424849;-0.002600797;-0.015812579;0.005328334;stand;1
3.3;-0.259427289;-0.059365916;0.964985786;-0.089897165;-0.037049517;-0.06733124;-0.995738979;-0.054844407;0.065833734;-0.056977676;-0.006660371;0.002225916;-0.993256583;-0.052330858;-0.087976971;-0.0566442;0.047514621;-0.006560847;-0.977283429;-0.045347565;0.227727024;0.007321298;-0.017253982;0.00522893;stand;1
3.4;-0.259047384;-0.058727694;0.963632456;0.001910427;0.006793451;-0.005183348;-0.990141194;-0.054883292;0.076902725;0.007242162;0.019180177;0.001464479;-0.989498416;-0.053024595;-0.0785354;0.006923584;-0.02541621;0.002571396;-0.972184528;-0.049680431;0.236205401;0.008099004;0.022940141;0.009760885;stand;1
3.5;-0.250982734;-0.066866596;0.964192468;0.013620208;0.010881433;0.001557835;-1.000048383;-0.052775532;0.063084802;0.011981575;0.006104938;-0.00371817;-0.997713192;-0.058325765;-0.094502292;0.012407115;0.001074356;-0.00185868;-0.968251874;-0.045010386;0.232224561;-0.009961444;0.003157201;-0.009442032;stand;1
3.6;-0.261415817;-0.047114629;0.970846353;0.010792685;0.002592174;0.007254838;-0.995395262;-0.058837674;0.070318571;0.017649152;0.006677274;0.010046168;-0.996317554;-0.050093776;-0.070729079;0.015924795;-0.020703703;0.012543969;-0.974985791;-0.047723579;0.232540913;0.003855449;0.039214618;0.021255927;stand;1
3.7;-0.251015449;-0.067929022;0.962422954;0.024053367;-0.002424442;0.011420358;-0.996231128;-0.051367038;0.068307255;0.02314857;0.008804199;0.003690084;-0.99480687;-0.054224439;-0.084397069;0.022338717;-0.000370439;0.007105285;-0.96554262;-0.054938862;0.241887577;-0.009168678;-0.009639069;-0.001824161;stand;1
3.8;-0.252992019;-0.07115314;0.964110783;0.081644509;0.018369851;0.028326521;-0.995290048;-0.054570052;0.063974806;0.075719344;0.022497216;-0.00100309;-0.994138644;-0.05483564;-0.082294181;0.075046368;-0.015803452;0.010126301;-0.968468806;-0.040638522;0.231151144;-0.016758657;-0.002340608;-0.010305131;stand;1
3.9;-0.241030437;-0.103642857;0.956428842;0.055562191;0.015905274;0.015545521;-1.002558079;-0.054021979;0.052826488;0.053591307;0.007320827;-0.00241681;-0.99553906;-0.069333108;-0.114077072;0.053376523;0.005694986;0.00536012;-0.97001112;-0.042501188;0.239642424;-0.009793252;-0.017691248;0.006238394;stand;1
4;-0.279547199;0.029771862;0.967447802;-1.023954836;-0.205997289;-0.360578514;-0.981914147;-0.058796891;0.096819742;-0.902552876;-0.219643063;0.057345638;-0.996387071;-0.031405986;-0.022460692;-0.899345024;0.26664179;-0.09667551;-0.979451784;-0.052779587;0.231458062;0.001832864;-0.005983669;0.002053183;stand;2
4.1;-0.237202068;-0.07205437;0.943359027;1.031950957;0.220067863;0.370278164;-1.010680108;-0.056944033;0.049032969;0.912216158;0.227190655;-0.048708519;-1.005126702;-0.097664261;-0.142960368;0.907679919;-0.273740304;0.1047822;-0.967499079;-0.035381186;0.230905204;-0.006564331;0.009213777;-0.01812438;stand;2
4.2;-0.214442484;-0.098968278;0.923827695;-1.349323477;-0.308746436;-0.497441723;-1.019510765;-0.055279464;0.030183001;-1.16742954;-0.299836622;0.075017021;-1.000427391;-0.137891866;-0.210947588;-1.162387756;0.384448665;-0.132905496;-0.972082883;-0.056479201;0.230216872;0.012726299;-0.009534148;0.024403347;stand;2
4.3;-0.342826148;0.215799434;0.979502267;-0.357379805;-0.066505456;-0.132891048;-0.956261978;-0.058297815;0.149955273;-0.296035754;-0.076729828;0.027282013;-0.985942115;0.035825392;0.034579157;-0.294779818;0.091098256;-0.038456377;-0.976819;-0.037912356;0.232423535;-0.008797607;0.032828693;-0.004394111;stand;2
4.4;-0.280942979;0.085200089;0.951588692;0.096661629;0.023979289;0.077583063;-0.993448179;-0.053683181;0.094749167;0.06090034;0.003090998;0.004792653;-0.988641005;-0.058443648;-0.136394742;0.058251787;-0.006419375;0.018398459;-0.967855576;-0.054322026;0.239409951;0.004232929;0.012627661;0.007064702;stand;2
4.5;-0.30651401;0.123359596;0.968488157;0.932887126;0.201151872;0.271875606;-0.975779046;-0.05772388;0.110887554;0.833872952;0.229461025;-0.0708843;-0.989581597;-0.012401031;-0.028856566;0.83113638;-0.271591164;0.098328545;-0.966670811;-0.030759531;0.23518646;-0.005164938;0.012805809;-0.001093158;stand;2
4.6;-0.216314829;-0.111112663;0.949960403;0.283233465;0.068246816;0.092339643;-1.025324841;-0.059500401;0.025082497;0.262626931;0.059798934;-0.00908545;-1.004817742;-0.114006594;-0.206197392;0.260383446;-0.068656078;0.035646125;-0.983180535;-0.072109882;0.23878245;0.015158003;0.026516357;0.021594887;stand;2
4.7;-0.258297252;-0.066593871;0.948755286;0.094954085;-0.000797291;0.026040017;-0.993582438;-0.037539647;0.080968115;0.095072515;0.010600824;0.000555491;-0.990207938;-0.067288284;-0.112939172;0.093714395;-0.022569594;0.016154159;-0.951424835;-0.025435994;0.248365495;0.034830198;0.025438929;-0.026897703;stand;2
4.8;-0.281599406;0.036099904;0.976642237;-0.471929783;-0.081631716;-0.140146077;-0.967487817;-0.068723027;0.145864601;-0.432687976;-0.046520929;0.033110369;-0.99186967;-0.015764534;0.041681011;-0.431888841;0.089695517;-0.042072258;-0.975555393;-0.056579428;0.241169184;0.016915766;-0.042905176;-0.004719244;stand;2
4.9;-0.251033342;-0.054696197;0.963174768;1.003147913;0.19184215;0.349573868;-1.025768664;-0.058895378;-0.068752758;0.910118225;0.269206555;-0.016084869;-1.00558608;-0.078338256;-0.218207269;0.904378341;-0.367181323;0.106612801;-0.978355626;-0.052586011;0.230369627;0.094023073;0.090039301;0.003760179;stand;2
5;-0.218853609;-0.168951414;0.936926837;-0.252237294;-0.049072152;-0.083638436;-1.000664858;-0.025719396;0.106562956;-0.211173677;-0.156206815;0.021051305;-1.002594297;-0.080327059;-0.078666421;-0.211763251;0.200452527;-0.009703197;-0.93897507;-0.059592745;0.268871122;-0.027085499;-0.033162488;-0.005973732;stand;2
5.1;-0.268289429;-0.015906292;0.981891047;-0.084817965;-0.007061237;-0.041617867;-0.983716661;-0.058101119;0.070297139;-0.073132607;0.020954908;-0.001295774;-0.987615319;-0.014002346;-0.032060844;-0.072100486;0.019538521;-0.012298573;-0.976430553;-0.041014064;0.245649878;-0.050436791;-0.086298521;0.008928987;stand;2
5.2;-0.247836799;-0.09374791;0.954067799;0.050891945;0.014161466;0.035293353;-1.000122617;-0.04048686;0.053919849;0.067192717;0.008920627;-0.001875871;-0.993823312;-0.060980442;-0.114796665;0.066761887;-0.034643832;0.007870699;-0.976523876;-0.049903144;0.228949335;0.006397536;-0.005760131;0.00071315;stand;2
