Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label
8.13;-0.421102452;0.247471732;0.887216895;-0.073434188;-0.206619009;0.140245331;-1.023782753;-0.031023598;-0.278189048;-0.403746412;-0.054540899;0.201771818;-1.021076887;-0.215204255;-0.073724639;-0.125865821;-0.11772655;-0.370283432;-1.01876722;-0.059825932;0.175314071;0.303480255;0.053238643;0.083225283;idle
8.23;-0.391773325;0.25545438;0.876427549;0.141826335;0.040123023;0.105001948;-0.978541677;0.065180352;-0.244086199;0.062105327;-0.179201287;0.319650991;-0.957894565;-0.291778261;0.062174786;-0.157547294;-0.058984074;-0.515006476;-0.981331642;0.103544567;0.120757338;-0.151669876;0.376035678;0.239755729;idle
8.33;-0.396168328;0.272121833;0.865165858;0.067239385;0.035760525;0.029404775;-0.978352158;0.121448301;-0.208314836;0.094539822;-0.133304936;0.185107372;-0.984535733;-0.147532304;0.048523197;0.430743931;0.063268777;-0.136471647;-0.997245978;0.030209265;0.269334984;-0.078288736;0.357321916;0.211043477;idle
8.43;-0.395596591;0.263972325;0.861804883;-0.110408574;-0.050597209;-0.073672566;-0.961096381;0.109407932;-0.177372019;0.043295221;0.131509336;-0.010020347;-0.97698391;-0.140583264;0.05445541;-0.401067318;-0.067645234;-0.197610439;-0.952874675;0.139092183;0.20898451;0.059369932;0.289200968;0.137234159;idle
8.53;-0.389961904;0.242214635;0.870777518;0.020266086;-0.043317219;-0.040408458;-0.975210816;0.057599741;-0.233153634;-0.038961351;0.337243953;-0.089298743;-0.937701962;-0.196298488;0.034303832;-0.197865891;0.086637924;-0.50367449;-0.980987001;0.122051051;0.237643162;0.073828333;0.137620228;-0.086144813;idle
8.63;-0.38400637;0.259601623;0.875642995;0.015200981;-0.05279421;-0.050071821;-0.97669685;0.109509731;-0.24435494;-0.01640437;0.586725631;-0.263357394;-0.965127529;-0.206623236;0.080946441;-0.1699349;0.138375763;-1.125249002;-1.000665488;0.111320391;0.197877268;-0.068451415;-0.049745549;-0.134898096;idle
8.73;-0.389422615;0.253813085;0.910297492;-0.123020235;0.611721829;-0.214879702;-1.098480248;0.046056418;-0.301082522;0.089105038;0.94066723;-0.572501776;-1.085644712;-0.351834528;0.095725548;-0.049781762;0.353675387;-0.088334704;-1.078430656;0.16217388;0.182173923;-0.007557974;-0.127702594;-0.236069018;idle
8.83;-0.481351525;0.301792295;0.926488307;-0.115028845;2.979319083;-0.928856876;-1.291767851;-0.03073871;-0.156910281;0.089340681;2.064376227;-0.895985989;-1.248198129;0.200951867;0.047865366;0.331320975;0.472287231;1.405536021;-1.137979946;0.104565471;0.070997631;-0.231447468;-0.410044329;-0.064898136;idle
8.93;-1.202058645;0.544662605;1.151305693;-1.736386767;5.682092016;-2.298440369;-1.277351264;0.238041625;-0.509724729;0.497180965;2.220918837;-0.704586432;-1.320785665;-0.138964979;-0.148571417;-0.781145418;-0.06369705;2.744032263;-0.85179263;-0.097136012;0.043290279;-0.039673306;-0.033446551;-0.057467804;idle
9.03;-0.510398843;0.779542289;1.097986212;0.620968298;-1.418894726;-0.431111874;-0.873474028;0.074853439;-0.460428684;0.36181615;0.355904638;0.287076181;-1.335579757;-0.07685921;0.128395513;1.413851933;-0.496564907;3.345098863;-1.06599815;-0.121182941;0.098831802;-0.338971754;0.033557847;-0.163162652;walk-rampascent
9.13;-0.511202748;0.169715065;0.84186387;1.147149929;-3.36207632;1.913304376;-0.748771641;-0.073491932;-0.45259938;-0.881050032;-2.611522262;1.077764135;-0.954470336;0.067822199;-0.134744313;0.953935005;-0.42041545;2.730445288;-0.892553427;-0.086507032;0.173193797;-0.215616805;0.164074016;-0.086221784;walk-rampascent
