Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label;;
10.195;-0.246428569;-0.172340565;0.95924665;0.231517948;0.022231317;0.065302975;-0.98914881;-0.047736767;0.125144145;0.328847265;-0.123132144;0.070893051;-0.995391954;-0.040734069;-0.083317018;0.304835802;0.083342483;0.142417243;-0.967050457;-0.072472899;0.247892763;-0.032868326;0.019672446;0.054796722;walk;0;
10.295;-0.230597785;-0.227959402;0.937405452;0.228429103;0.037267096;0.042291977;-0.975113349;-0.033968908;0.179708382;0.386881549;-0.129045203;0.1012913;-0.992637569;-0.049485986;-0.068868078;0.350567214;0.09017078;0.192162928;-0.949030132;-0.052689047;0.247703505;0.0408391;0.028076183;0.081723178;walk;0;
10.395;-0.238673578;-0.267124556;0.918612588;-0.054558538;0.003209905;-0.035893586;-0.96961883;-0.010527326;0.246418454;0.138464829;-0.070572988;0.140861938;-0.996834836;-0.038197594;-0.046227278;0.096868065;0.061971856;0.171710295;-0.972436311;-0.108436222;0.252781309;0.089949529;-0.006198317;0.052195707;walk;0;
10.495;-0.261375233;-0.2192264;0.938703107;-0.479375048;-0.07521594;-0.15500584;-0.982444417;0.014967714;0.224388517;-0.292230452;-0.006378853;0.166760965;-0.999794389;0.003030943;-0.063938063;-0.326016833;-0.04009281;0.083354172;-0.973420392;-0.110941526;0.266158343;0.001743868;-0.062386887;-0.14022471;walk;0;
10.595;-0.279686481;-0.142182755;0.949959724;-0.404509723;-0.055151694;-0.126536816;-0.982471384;0.034276612;0.186534635;-0.275704755;-0.057917768;0.120485013;-0.98620377;0.051710889;-0.080312875;-0.297658843;-0.071863393;0.043941205;-0.963638898;0.014441982;0.254154505;-0.061917062;-0.020018612;-0.185658966;walk;0;
10.695;-0.293672785;-0.091231598;0.969728389;-0.251636815;-0.043146717;-0.073959192;-0.987905344;0.040130938;0.213145817;-0.241262676;-0.129440242;0.026879734;-1.002509564;0.069146475;-0.044734291;-0.239808869;-0.117035393;-0.037600041;-0.945733727;0.041425052;0.291530305;0.006535866;-0.125121297;-0.179980437;walk;0;
10.795;-0.288368471;-0.101938147;0.948917303;0.102510552;-0.016228009;0.040044602;-0.974082318;0.046482898;0.209933322;0.016599627;-0.126777765;-0.064233352;-0.979129438;0.064544701;-0.060872324;0.032387086;-0.260080384;-0.057797265;-0.942155826;0.100232891;0.267574168;-0.059611979;-0.093992671;0.006763754;walk;0;
10.895;-0.294710388;-0.102340821;0.968398492;0.240214209;-0.007692381;0.098191731;-0.986535001;0.044199071;0.212489633;-0.011474403;-0.251362425;-0.18874519;-0.991037852;0.081535127;-0.035064429;0.035642967;-0.285485712;-0.18575848;-0.95065484;0.028127519;0.280409568;-0.049079029;-0.137761238;-0.009718668;walk;0;
10.995;-0.276157339;-0.167591028;0.949813071;0.575014336;-0.012405972;0.20205091;-0.974684874;0.013590169;0.291297162;0.133584667;-0.308505739;-0.341264599;-0.99347254;0.040012674;0.028950059;0.212717016;-0.422179431;-0.298330832;-0.970290101;0.101930565;0.259270917;-0.130605075;-0.1564143;-0.057085921;walk;0;
11.095;-0.22030933;-0.233837699;0.984340399;0.631179609;-0.395101772;-0.015318042;-1.071324178;-0.062548561;0.24618874;0.063069571;-0.353706666;-0.470725557;-1.083259551;-0.041490056;0.013522194;0.166406812;-0.542520579;-0.444873834;-1.073591293;0.029703536;0.178918503;-0.089773807;-0.02994178;-0.081936338;walk;0;
11.195;-0.327930915;-0.290303029;0.893355639;1.058606135;-0.999480383;-0.082015945;-0.968106935;-0.102031709;0.248735103;0.371733549;-0.59531218;-0.48893106;-0.996055565;-0.105586265;0.042814489;0.475417578;-0.145582563;-0.388311225;-0.968211948;0.001009068;0.133958378;-0.162107095;-0.028899268;0.058330508;walk;0;
11.295;-0.436809097;-0.30101212;0.832097209;1.186506066;-1.101029017;-0.033993173;-0.924407607;-0.073721659;0.255986396;0.393057569;-0.923561175;-0.434426504;-0.94827777;-0.081414741;-0.015495374;0.506747047;0.271137838;-0.286708515;-0.990036236;-0.020812148;0.088591093;-0.009286736;-0.017742861;-0.007605243;walk;0;
11.395;-0.393568666;-0.472334388;0.819326589;1.902914412;-1.98152908;-0.129909875;-1.102371063;-0.115247214;0.253733544;0.548290862;-1.443432118;-0.337966667;-1.067043194;-0.147635994;-0.234996051;0.641676252;1.153205689;-0.039298927;-0.990930358;-0.07896586;0.11401091;-0.016083647;0.122235772;0.092273164;walk;0;
11.495;-0.537068369;-0.710191227;0.936515606;1.164385974;-1.797592959;-0.66421102;-0.813640718;-0.170183005;0.572460958;0.215865594;-1.217239304;-0.166962591;-1.115462151;-0.25675921;-0.126423568;0.271406271;2.091457019;0.024064427;-0.984489563;-0.111991392;0.172098577;-0.088922161;0.073664101;0.218719062;walk;0;
11.595;-0.040862586;-0.43649004;0.896713253;-1.708347969;2.511478739;0.429270417;-0.325959178;-0.186255866;0.58222862;-0.233250109;1.734046005;0.295266441;-1.00043797;-0.242313508;0.070830702;-0.374398895;1.518423017;-0.038049314;-0.959725409;-0.088201025;0.246220029;-0.069874843;0.024031804;0.287134926;walk;0;
11.695;-0.482844058;-0.699461389;0.832101862;-1.980643659;3.846769728;1.772771294;-0.733705134;-0.151510116;0.458858267;-0.466815231;4.25816942;0.456476024;-0.800222903;-0.135819188;-0.049712058;-0.653008508;0.128556507;0.006447602;-0.932940211;-0.166376607;0.272983241;-0.02170585;-0.000666308;0.235720973;walk;0;
