time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
10,-0.971,-0.1,0.182,-0.00556,0.00111,-0.00556,-1.0,-0.086,-0.081,-0.01556,-0.00111,-0.00444
110,-0.971,-0.101,0.185,-0.01,0.0,0.00778,-0.996,-0.091,-0.073,0.00444,-0.00111,-0.00778
210,-0.973,-0.1,0.177,0.0,0.0,-0.00889,-0.999,-0.09,-0.077,0.00778,0.0,-0.00556
311,-0.976,-0.099,0.181,-0.00889,-0.00111,-0.00111,-0.998,-0.09,-0.076,-0.00556,-0.00222,0.0
411,-0.975,-0.099,0.186,-0.00556,0.0,-0.00111,-0.997,-0.091,-0.075,0.00111,-0.00444,-0.00889
512,-0.972,-0.104,0.179,0.01444,0.0,0.0,-0.994,-0.091,-0.076,0.01111,0.0,-0.00889
611,-0.976,-0.099,0.18,0.01444,0.0,-0.00444,-0.991,-0.095,-0.079,0.01333,0.0,-0.01111
710,-0.972,-0.104,0.175,0.02111,0.00111,-0.00778,-1.0,-0.088,-0.08,0.01444,0.00222,0.00667
810,-0.97,-0.101,0.182,0.00222,0.00222,0.00222,-0.996,-0.093,-0.075,-0.00333,0.00111,0.00111
910,-0.975,-0.099,0.18,0.0,0.00222,-0.00333,-1.001,-0.088,-0.082,0.00778,-0.00111,-0.00333
1010,-0.972,-0.105,0.176,-0.01889,-0.00333,0.01,-0.999,-0.091,-0.077,-0.01,0.0,0.00778
1110,-0.973,-0.098,0.184,-0.00444,0.0,0.00333,-0.998,-0.094,-0.072,-0.01,0.0,-0.00111
1212,-0.975,-0.1,0.175,0.00556,0.00556,0.00556,-0.998,-0.089,-0.081,0.00889,0.00444,0.00556
1310,-0.973,-0.101,0.177,-0.00667,-0.00111,0.00778,-1.001,-0.089,-0.077,-0.01,0.00222,0.00333
1411,-0.977,-0.095,0.18,-0.00889,0.0,0.00556,-0.997,-0.088,-0.078,-0.01,0.00111,0.00111
1510,-0.974,-0.097,0.181,-0.00333,0.0,0.0,-1.0,-0.087,-0.077,-0.00778,0.0,0.0
1612,-0.975,-0.095,0.18,0.01222,0.0,0.0,-0.998,-0.083,-0.078,-0.00667,0.0,0.0
1710,-0.972,-0.099,0.181,-0.00111,0.0,0.00778,-0.995,-0.085,-0.08,-0.00111,-0.00111,0.0
1812,-0.974,-0.098,0.185,0.00111,0.00111,-0.00556,-0.997,-0.088,-0.074,-0.00556,0.0,-0.00778
1911,-0.974,-0.098,0.176,-0.00333,0.00111,-0.01,-0.997,-0.086,-0.077,0.00889,0.0,-0.00111
2013,-0.971,-0.097,0.182,-0.00333,0.0,-0.00444,-0.997,-0.088,-0.077,-0.00778,0.0,-0.00556
2110,-0.973,-0.098,0.181,0.00111,0.0,-0.00333,-0.996,-0.09,-0.077,0.00444,0.00111,-0.00222
2210,-0.971,-0.094,0.184,0.00222,0.0,0.00222,-1.0,-0.088,-0.078,-0.00556,-0.00111,-0.00444
2310,-0.975,-0.097,0.185,0.01,0.0,-0.01,-1.002,-0.089,-0.08,-0.00556,0.0,-0.00111
2412,-0.973,-0.099,0.178,-0.01333,-0.00111,0.00222,-0.996,-0.093,-0.078,0.00222,0.0,0.00111
2503,-0.975,-0.095,0.178,-0.00111,-0.00333,0.00333,-0.995,-0.092,-0.074,-0.00889,0.0,0.00222
2612,-0.972,-0.096,0.176,0.00333,-0.00222,0.01,-0.997,-0.09,-0.077,0.00889,-0.00111,0.00444
2710,-0.973,-0.097,0.182,0.00556,-0.00222,0.01,-0.998,-0.086,-0.081,-0.00111,-0.00444,-0.00111
2812,-0.972,-0.093,0.185,0.00222,-0.00556,0.00444,-0.996,-0.089,-0.076,-0.00556,0.00111,0.01444
2910,-0.973,-0.096,0.181,0.00889,-0.00333,-0.00111,-0.997,-0.082,-0.079,-0.01,0.0,0.00778
3012,-0.97,-0.092,0.183,-0.01778,-0.01,0.00333,-0.994,-0.083,-0.072,-0.01,0.0,0.00667
3110,-0.974,-0.092,0.185,0.01,-0.00444,0.0,-0.997,-0.086,-0.077,-0.00889,0.0,0.00667
3210,-0.974,-0.092,0.185,0.02,-0.00556,0.00444,-0.999,-0.085,-0.084,0.00111,-0.00111,0.00556
3312,-0.971,-0.097,0.185,0.0,-0.00444,-0.00222,-0.995,-0.084,-0.079,-0.00444,0.0,0.01222
3410,-0.975,-0.091,0.189,0.00222,0.0,-0.00889,-0.998,-0.079,-0.073,-0.03444,-0.00333,-0.01222
3511,-0.975,-0.09,0.188,-0.00556,0.00111,0.0,-1.0,-0.079,-0.08,-0.01889,0.0,0.00111
3610,-0.972,-0.097,0.185,-0.00111,0.00222,0.0,-1.0,-0.088,-0.073,-0.00556,0.0,-0.01333
3712,-0.974,-0.092,0.177,0.00778,0.00222,-0.00333,-0.995,-0.088,-0.079,0.00889,0.00333,-0.00333
3812,-0.969,-0.092,0.182,-0.00333,0.0,0.00333,-0.994,-0.084,-0.072,-0.02,0.00222,0.00222
3910,-0.976,-0.086,0.185,-0.00111,0.0,0.00222,-1.0,-0.079,-0.081,-0.01111,0.00222,0.0
4012,-0.969,-0.1,0.185,-0.01889,0.00222,-0.00333,-0.997,-0.087,-0.079,-0.00333,0.0,0.00111
4110,-0.973,-0.085,0.189,0.01,0.00333,0.0,-1.001,-0.077,-0.076,0.00111,0.00222,-0.00778
4210,-0.975,-0.086,0.176,0.00333,0.00333,-0.00556,-1.0,-0.084,-0.087,0.00778,0.00333,0.0
4315,-0.978,-0.091,0.181,-0.00444,0.00111,-0.00778,-0.996,-0.081,-0.08,-0.00778,-0.00222,-0.00556
4411,-0.975,-0.09,0.184,-0.00667,-0.00333,-0.01,-0.997,-0.085,-0.077,-0.01778,-0.00333,-0.01222
4510,-0.974,-0.097,0.179,0.0,0.00222,-0.00667,-0.997,-0.089,-0.08,0.00222,-0.00333,-0.01333
4609,-0.977,-0.098,0.178,-0.01667,-0.00111,-0.00222,-0.998,-0.085,-0.079,-0.01333,-0.00333,-0.00556
4746,-0.977,-0.085,0.185,0.01,0.00222,-0.00333,-0.999,-0.087,-0.079,-0.00444,-0.00111,-0.00556
4811,-0.973,-0.09,0.183,0.00778,0.0,-0.00778,-0.996,-0.086,-0.083,0.00667,-0.00222,-0.00444
4914,-0.972,-0.097,0.183,-0.00667,0.0,0.00556,-0.999,-0.085,-0.073,-0.00556,0.00111,0.01
5008,-0.974,-0.096,0.183,-0.00444,-0.00222,0.00667,-1.0,-0.086,-0.081,-0.00778,0.00333,0.00778
5114,-0.973,-0.092,0.179,-0.00222,0.0,0.00222,-1.001,-0.083,-0.085,0.0,-0.00111,-0.00111
5212,-0.971,-0.096,0.183,0.0,-0.00333,0.00111,-1.0,-0.084,-0.083,0.0,-0.00333,-0.00444
5313,-0.971,-0.098,0.183,-0.00444,0.0,-0.00222,-0.997,-0.089,-0.079,-0.00111,-0.00222,-0.00889
5411,-0.975,-0.09,0.181,-0.00667,0.0,0.0,-1.001,-0.085,-0.077,0.00333,-0.00333,0.0
5510,-0.975,-0.093,0.179,0.00333,-0.00111,0.00222,-0.997,-0.087,-0.081,0.00333,-0.00111,-0.01111
5611,-0.974,-0.094,0.18,-0.00111,0.0,0.00111,-0.999,-0.084,-0.079,0.01333,0.0,0.0
5711,-0.972,-0.089,0.189,0.00444,-0.00111,-0.00111,-0.996,-0.087,-0.076,-0.00889,0.0,-0.00333
5810,-0.973,-0.093,0.178,0.00778,0.00222,-0.01,-0.996,-0.084,-0.082,0.01444,0.00222,0.0
5910,-0.973,-0.095,0.183,-0.00333,0.0,-0.00444,-1.0,-0.087,-0.076,0.0,0.0,-0.01222
6010,-0.977,-0.093,0.18,-0.01222,0.0,-0.00111,-0.995,-0.088,-0.08,0.01,0.0,0.0
6110,-0.97,-0.095,0.178,-0.00111,-0.00222,0.00222,-0.997,-0.086,-0.077,0.0,0.00111,-0.00444
6208,-0.978,-0.095,0.182,-0.00667,0.0,0.00222,-0.997,-0.089,-0.082,0.0,0.0,0.0
6314,-0.976,-0.09,0.179,0.00111,0.00333,-0.00222,-1.001,-0.086,-0.082,-0.01,-0.00111,-0.00333
6409,-0.969,-0.097,0.184,0.01,0.00444,-0.00667,-0.999,-0.088,-0.08,-0.00111,0.00111,0.00111
6509,-0.971,-0.093,0.178,0.00667,0.00111,0.0,-0.998,-0.088,-0.076,0.00222,0.0,-0.00333
