time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
15,-0.972,-0.088,0.202,0.00778,0.0,0.0,-0.999,-0.086,-0.075,0.00667,0.0,0.0
113,-0.974,-0.088,0.196,0.00222,-0.00111,-0.00333,-0.997,-0.088,-0.081,0.00111,-0.00222,0.0
216,-0.97,-0.083,0.199,0.00222,-0.00222,-0.00222,-0.998,-0.088,-0.077,0.0,-0.00667,-0.00667
314,-0.971,-0.092,0.199,-0.00333,-0.00667,-0.00111,-1.001,-0.086,-0.078,0.01,-0.00222,0.00222
418,-0.971,-0.081,0.201,-0.01,-0.00111,-0.00111,-1.0,-0.083,-0.075,-0.01222,-0.00222,-0.00333
514,-0.973,-0.084,0.202,-0.00222,0.00111,0.00111,-0.996,-0.082,-0.075,-0.00778,-0.00111,-0.00444
614,-0.972,-0.087,0.193,-0.00333,0.0,-0.00444,-0.997,-0.081,-0.078,-0.00222,0.0,-0.00333
713,-0.971,-0.086,0.196,-0.00778,0.0,-0.00111,-1.001,-0.084,-0.077,-0.00333,-0.00111,-0.00667
813,-0.972,-0.086,0.199,-0.00444,0.00333,-0.00222,-0.997,-0.088,-0.077,0.0,-0.00222,-0.00889
913,-0.968,-0.091,0.198,-0.00111,-0.00333,0.0,-0.999,-0.084,-0.081,-0.00556,0.00111,-0.00111
1017,-0.969,-0.081,0.203,0.0,-0.00111,0.0,-0.995,-0.09,-0.067,-0.01444,-0.00111,-0.00222
1115,-0.97,-0.083,0.192,0.01667,0.00222,-0.01,-0.998,-0.083,-0.084,0.01,-0.00222,-0.00333
1218,-0.97,-0.087,0.191,-0.02667,0.0,0.00222,-0.999,-0.082,-0.081,0.00778,-0.00222,0.00222
1315,-0.969,-0.082,0.204,-0.00111,-0.00111,0.00222,-0.997,-0.087,-0.073,-0.02222,0.0,0.0
1414,-0.971,-0.079,0.208,0.01556,-0.00222,0.0,-0.997,-0.087,-0.071,0.00778,0.0,0.0
1513,-0.971,-0.088,0.199,0.02444,0.00111,-0.00778,-0.999,-0.083,-0.076,0.01556,0.00556,0.0
1614,-0.974,-0.092,0.197,0.0,0.00111,-0.01,-0.999,-0.083,-0.082,-0.01111,0.0,-0.00444
1716,-0.97,-0.082,0.205,-0.01667,0.0,0.0,-0.994,-0.086,-0.071,-0.00667,0.0,0.0
1814,-0.969,-0.089,0.199,0.0,0.0,0.0,-0.999,-0.086,-0.073,0.00778,0.0,0.00333
