time_ms;left_accel_x;left_accel_y;left_accel_z;left_gyro_x;left_gyro_y;left_gyro_z;right_accel_x;right_accel_y;right_accel_z;right_gyro_x;right_gyro_y;right_gyro_z
11278;-13.28;2.44;-0.24;36.375;-38.813;-27.125;-13.32;-1.67;-0.32;7.437;6.5;3.438
11328;-13.82;4.26;-3.03;1.375;-9.875;-12.438;-13.09;-2.62;0.54;20.187;48.625;-10.188
11379;-7.16;-0.94;3.01;-140.75;-12.813;18.25;-11.52;2.97;-1.68;-46.375;134.875;2.875
11430;-9.48;3.75;1.93;-32.438;-19.25;-7.75;-9.35;-0.62;2.27;18.125;122.75;-3.438
11478;-9.66;0.98;2.18;-49;-23.375;-0.937;-11.3;-3.16;5.85;0.937;82.813;-24.187
11530;-10.19;2.27;1.5;-61.813;-20.187;-5.437;-10.09;-0.98;3.26;-131.875;80.625;-9.625
11579;-9.6;3.53;1.82;-75.063;-3.063;6.187;-9.01;-0.12;2.32;-77.5;40.563;-13.813
11630;-9.12;2.38;2.01;-38.375;2.5;4.625;-7.47;0.76;3.07;-33.813;-8.813;-15.188
11679;-9.54;2.46;2.19;-21.5;-3.313;2.25;-7.5;0.52;3.03;-91.188;-56.438;1.625
11729;-9.54;2.23;0.22;-7.125;-9.25;3.063;-9.35;0.24;-1.04;-154.875;-72.188;22.375
11779;-9.44;1.25;0.33;-31.187;-6;0.5;-10.31;4.05;-3.54;-18.062;-45.813;14.5
11829;-8.91;3.09;2.72;-39;1.562;-3.188;-11.96;-0.92;5.87;87.063;-55.813;-11.063
11879;-9.2;3.05;1.6;-5.937;-7.75;3;-9.25;-1.8;1.14;-4.437;-33.5;18.125
11929;-8.46;0.79;2.77;0.125;-4.875;-10.688;-9.06;1.32;3.36;10;-46.063;4.812
11979;-9.29;2.29;2.49;9.125;-18;-18.5;-9.3;-0.26;1.76;-7.5;-48.25;9
12029;-9.72;1.26;1.55;16.812;-9.688;-14.125;-10.38;-0.12;1.84;39.125;-20.937;8.188
12079;-9.66;1.57;2;2.875;-2.625;-10;-11.4;-0.76;-0.09;-29.5;0.312;-7.062
12129;-9.63;0.9;1.86;5.5;-0.937;-6.437;-8.91;-0.39;1.76;29.625;0.875;-9.625
12179;-9.62;0.93;1.89;-9.5;1.562;-3.938;-9.64;-0.17;2.7;-1.562;-0.875;-0.375
12229;-9.46;1.71;1.94;-10.125;1.75;-0.625;-9.48;-0.58;2.64;-10.063;-1;-0.437
12278;-9.49;1.49;1.73;1;0.437;-1.25;-9.81;0.11;2.12;-7.125;-3.813;0
12329;-9.5;1.6;1.83;2.688;-0.937;-1.812;-9.65;0.56;1.76;-4.437;-0.5;-1.125
12380;-9.43;1.36;1.79;6.625;-0.937;-0.937;-9.71;-0.45;2.01;8.563;1.125;-0.75
12429;-9.5;1.39;1.84;2.813;-1.187;-0.562;-9.68;-0.19;2.05;5.625;0;-0.75
12479;-9.43;1.56;1.81;5.437;-1.937;0;-9.72;-0.17;1.71;-1.25;0.625;0
12529;-9.49;1.58;1.71;5.375;-1.75;0.062;-9.57;0.15;1.75;1.25;1.5;-0.437
12580;-9.54;1.54;1.91;1.75;-0.625;0.437;-9.66;0.1;1.81;4.125;1.5;-0.5
12629;-9.48;1.58;2.03;2.5;-0.75;0.562;-9.59;-0.13;2.08;2.875;1.812;-0.125
12679;-9.44;1.51;2.03;3.375;-1.437;0.687;-9.57;0.06;2.03;-0.687;-0.5;0.375
12729;-9.47;1.63;1.97;1.375;-0.625;0.687;-9.61;0.13;1.75;-1.562;0.812;1.125
12780;-9.41;1.6;1.98;1.062;-0.062;0.562;-9.72;0.07;1.86;-0.375;-1.25;1.062
12829;-9.44;1.71;1.93;-0.562;0.187;0.437;-9.58;0.07;1.68;-2.375;1.187;0.312
12879;-9.39;1.57;1.88;-0.875;0.437;0.812;-9.68;0.01;1.82;-1.625;0.312;0.75
12929;-9.44;1.71;1.88;-3.188;0.75;0.75;-9.67;0.06;1.78;-3.313;0.187;0.437
12980;-9.45;1.56;1.87;-1.562;0.875;1;-9.66;0.13;1.93;-2.75;-0.75;0.937
