time_ms;left_accel_x;left_accel_y;left_accel_z;left_gyro_x;left_gyro_y;left_gyro_z;right_accel_x;right_accel_y;right_accel_z;right_gyro_x;right_gyro_y;right_gyro_z;;;a;b;c
11278;2.44;13.28;-0.24;-0.634863515;-0.677414643;-0.47342056;-0.32;13.32;-1.67;3.438;-7.437;6.5;;;-36.375;-27.125;-38.813
11328;4.26;13.82;-3.03;-0.023998277;-0.172351264;-0.217084052;0.54;13.09;-2.62;-10.188;-20.187;48.625;;;-1.375;-12.438;-9.875
11379;-0.94;7.16;3.01;2.456550922;-0.223629037;0.318522588;-1.68;11.52;2.97;2.875;46.375;134.875;;;140.75;18.25;-12.813
11430;3.75;9.48;1.93;0.566149903;-0.335975881;-0.135263017;2.27;9.35;-0.62;-3.438;-18.125;122.75;;;32.438;-7.75;-19.25
11478;0.98;9.66;2.18;0.855211333;-0.407970713;-0.016353735;5.85;11.3;-3.16;-24.187;-0.937;82.813;;;49;-0.937;-23.375
11530;2.27;10.19;1.5;1.078840371;-0.352329616;-0.094893551;3.26;10.09;-0.98;-9.625;131.875;80.625;;;61.813;-5.437;-20.187
11579;3.53;9.6;1.82;1.310096496;-0.053459435;0.107983521;2.32;9.01;-0.12;-13.813;77.5;40.563;;;75.063;6.187;-3.063
11630;2.38;9.12;2.01;0.6697701;0.043633231;0.080721478;3.07;7.47;0.76;-15.188;33.813;-8.813;;;38.375;4.625;2.5
11679;2.46;9.54;2.19;0.375245789;-0.057822758;0.039269908;3.03;7.5;0.52;1.625;91.188;-56.438;;;21.5;2.25;-3.313
11729;2.23;9.54;0.22;0.124354709;-0.161442956;0.053459435;-1.04;9.35;0.24;22.375;154.875;-72.188;;;7.125;3.063;-9.25
11779;1.25;9.44;0.33;0.544315834;-0.104719755;0.008726646;-3.54;10.31;4.05;14.5;18.062;-45.813;;;31.187;0.5;-6
11829;3.09;8.91;2.72;0.680678408;0.027262043;-0.055641097;5.87;11.96;-0.92;-11.063;-87.063;-55.813;;;39;-3.188;1.562
11879;3.05;9.2;1.6;0.103620198;-0.135263017;0.052359878;1.14;9.25;-1.8;18.125;4.437;-33.5;;;5.937;3;-7.75
11929;0.79;8.46;2.77;-0.002181662;-0.085084801;-0.18654079;3.36;9.06;1.32;4.812;-10;-46.063;;;-0.125;-10.688;-4.875
11979;2.29;9.29;2.49;-0.159261294;-0.314159265;-0.322885912;1.76;9.3;-0.26;9;7.5;-48.25;;;-9.125;-18.5;-18
12029;1.26;9.72;1.55;-0.293424754;-0.169087498;-0.246527757;1.84;10.38;-0.12;8.188;-39.125;-20.937;;;-16.812;-14.125;-9.688
12079;1.57;9.66;2;-0.050178216;-0.045814893;-0.174532925;-0.09;11.4;-0.76;-7.062;29.5;0.312;;;-2.875;-10;-2.625
12129;0.9;9.63;1.86;-0.095993109;-0.016353735;-0.112346844;1.76;8.91;-0.39;-9.625;-29.625;0.875;;;-5.5;-6.437;-0.937
12179;0.93;9.62;1.89;0.165806279;0.027262043;-0.068731066;2.7;9.64;-0.17;-0.375;1.562;-0.875;;;9.5;-3.938;1.562
12229;1.71;9.46;1.94;0.176714587;0.030543262;-0.010908308;2.64;9.48;-0.58;-0.437;10.063;-1;;;10.125;-0.625;1.75
12278;1.49;9.49;1.73;-0.017453293;0.007627089;-0.021816616;2.12;9.81;0.11;0;7.125;-3.813;;;-1;-1.25;0.437
12329;1.6;9.5;1.83;-0.04691445;-0.016353735;-0.031625366;1.76;9.65;0.56;-1.125;4.437;-0.5;;;-2.688;-1.812;-0.937
12380;1.36;9.43;1.79;-0.115628063;-0.016353735;-0.016353735;2.01;9.71;-0.45;-0.75;-8.563;1.125;;;-6.625;-0.937;-0.937
12429;1.39;9.5;1.84;-0.049096112;-0.020717058;-0.00980875;2.05;9.68;-0.19;-0.75;-5.625;0;;;-2.813;-0.562;-1.187
12479;1.56;9.43;1.81;-0.094893551;-0.033807028;0;1.71;9.72;-0.17;0;1.25;0.625;;;-5.437;0;-1.937
12529;1.58;9.49;1.71;-0.093811447;-0.030543262;0.001082104;1.75;9.57;0.15;-0.437;-1.25;1.5;;;-5.375;0.062;-1.75
12580;1.54;9.54;1.91;-0.030543262;-0.010908308;0.007627089;1.81;9.66;0.1;-0.5;-4.125;1.5;;;-1.75;0.437;-0.625
12629;1.58;9.48;2.03;-0.043633231;-0.013089969;0.00980875;2.08;9.59;-0.13;-0.125;-2.875;1.812;;;-2.5;0.562;-0.75
12679;1.51;9.44;2.03;-0.058904862;-0.025080381;0.011990412;2.03;9.57;0.06;0.375;0.687;-0.5;;;-3.375;0.687;-1.437
12729;1.63;9.47;1.97;-0.023998277;-0.010908308;0.011990412;1.75;9.61;0.13;1.125;1.562;0.812;;;-1.375;0.687;-0.625
12780;1.6;9.41;1.98;-0.018535397;-0.001082104;0.00980875;1.86;9.72;0.07;1.062;0.375;-1.25;;;-1.062;0.562;-0.062
12829;1.71;9.44;1.93;0.00980875;0.003263766;0.007627089;1.68;9.58;0.07;0.312;2.375;1.187;;;0.562;0.437;0.187
12879;1.57;9.39;1.88;0.015271631;0.007627089;0.014172074;1.82;9.68;0.01;0.75;1.625;0.312;;;0.875;0.812;0.437
12929;1.71;9.44;1.88;0.055641097;0.013089969;0.013089969;1.78;9.67;0.06;0.437;3.313;0.187;;;3.188;0.75;0.75
12980;1.56;9.45;1.87;0.027262043;0.015271631;0.017453293;1.93;9.66;0.13;0.937;2.75;-0.75;;;1.562;1;0.875
13029;1.74;9.44;1.84;0.052359878;0.008726646;0.004363323;1.86;9.62;0.13;0.437;1.812;-0.25;;;3;0.25;0.5
13079;1.69;9.43;1.79;-0.003263766;0.005445427;0;1.93;9.56;0.21;0.187;0.312;-0.937;;;-0.187;0;0.312
13129;1.65;9.46;1.85;-0.011990412;-0.007627089;-0.004363323;1.83;9.66;0.09;0.375;-0.5;-0.875;;;-0.687;-0.25;-0.437
13180;1.6;9.48;1.87;-0.006544985;-0.005445427;-0.006544985;1.82;9.59;0.11;0.062;-0.937;-0.687;;;-0.375;-0.375;-0.312
13229;1.51;9.4;1.88;0;0.00980875;-0.001082104;1.98;9.68;-0.05;0.187;-2.438;-0.75;;;0;-0.062;0.562
13279;1.64;9.45;1.88;-0.007627089;-0.00980875;-0.006544985;1.91;9.58;0.06;0.187;-0.5;-1.187;;;-0.437;-0.375;-0.562
13330;1.51;9.39;1.86;-0.018535397;-0.00980875;-0.003263766;1.83;9.7;0;0.625;0.187;-1.125;;;-1.062;-0.187;-0.562
13380;1.71;9.47;1.88;0.001082104;-0.008726646;-0.005445427;1.86;9.65;0;0;0.125;-1;;;0.062;-0.312;-0.5
