time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
102,-0.969,-0.125,0.2,-0.00778,0.00111,-0.00778,-1.001,-0.092,-0.086,-0.00778,-0.00111,-0.01222
198,-0.964,-0.125,0.198,-0.00778,0.00444,-0.00222,-0.996,-0.094,-0.087,-0.01333,0.0,-0.01111
302,-0.972,-0.122,0.201,-0.00889,0.00333,-0.00667,-0.998,-0.093,-0.092,-0.02222,0.0,-0.01222
398,-0.966,-0.122,0.201,-0.00778,0.00444,0.0,-0.996,-0.093,-0.084,-0.01222,0.0,-0.00444
499,-0.965,-0.125,0.198,0.0,0.00111,0.0,-0.995,-0.094,-0.088,0.00222,0.00333,-0.00333
602,-0.968,-0.127,0.201,-0.00111,0.00111,-0.00778,-0.996,-0.089,-0.098,-0.01778,0.0,-0.01111
699,-0.966,-0.124,0.199,-0.02556,0.0,0.00444,-0.991,-0.095,-0.085,0.0,0.0,0.00556
801,-0.967,-0.126,0.201,0.01111,0.00111,-0.01444,-0.999,-0.095,-0.087,-0.00444,0.0,-0.00333
903,-0.968,-0.12,0.2,0.0,0.0,0.00111,-0.996,-0.096,-0.094,0.0,0.0,0.0
999,-0.968,-0.12,0.196,-0.00222,0.0,0.00889,-0.994,-0.092,-0.095,0.0,-0.00111,0.0
1103,-0.963,-0.118,0.199,-0.00778,-0.00556,0.00444,-0.998,-0.095,-0.086,-0.00222,-0.00333,0.0
1202,-0.965,-0.12,0.203,0.00111,-0.00222,0.0,-0.997,-0.093,-0.09,0.00333,0.0,0.00556
1299,-0.97,-0.119,0.207,-0.00111,0.00222,-0.00111,-0.997,-0.093,-0.091,0.0,-0.00333,-0.00333
1402,-0.969,-0.122,0.198,0.0,0.00222,-0.00111,-0.997,-0.088,-0.089,0.01111,0.00111,-0.00333
1499,-0.965,-0.121,0.201,0.00111,0.0,-0.00667,-0.991,-0.095,-0.086,0.00111,0.00222,-0.00556
1599,-0.965,-0.121,0.202,-0.00333,0.0,-0.00556,-0.994,-0.092,-0.091,0.00889,0.00556,0.0
1699,-0.968,-0.122,0.199,-0.01,0.00222,0.00222,-0.995,-0.094,-0.089,-0.00111,0.0,0.0
1799,-0.973,-0.122,0.202,0.0,-0.00111,0.00444,-0.998,-0.095,-0.088,0.0,0.00222,0.0
1899,-0.964,-0.126,0.19,-0.00333,0.00444,0.0,-0.996,-0.098,-0.094,0.0,0.00222,0.0
2001,-0.964,-0.12,0.198,0.00778,-0.00111,0.01111,-0.997,-0.092,-0.089,0.00444,0.0,0.00667
2093,-0.969,-0.117,0.198,0.01111,-0.00111,0.01111,-0.998,-0.095,-0.091,-0.00778,0.00111,0.01
