((.venv) ) (main) root@C.41440580:/workspace/LIMU-BERT-Public$ python pretrain_dapt.py v3 merged 10_20_9cls \
      -f saved/bertx/limu_bert_x \
      --seeds 3431 --dapt_epochs 600 --dapt_lr 1e-3 -g 0 --out_name limu_bert_x_dapt_1e-3_ep600
cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.001 epochs=600 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 1/600 : Average Loss 0.2020. Test Loss 0.1744
Epoch 2/600 : Average Loss 0.1677. Test Loss 0.1584
Epoch 3/600 : Average Loss 0.1528. Test Loss 0.1448
Epoch 4/600 : Average Loss 0.1461. Test Loss 0.1341
Epoch 5/600 : Average Loss 0.1381. Test Loss 0.1374
Epoch 6/600 : Average Loss 0.1319. Test Loss 0.1299
Epoch 7/600 : Average Loss 0.1298. Test Loss 0.1271
Epoch 8/600 : Average Loss 0.1249. Test Loss 0.1256
Epoch 9/600 : Average Loss 0.1243. Test Loss 0.1196
Epoch 10/600 : Average Loss 0.1218. Test Loss 0.1175
Epoch 11/600 : Average Loss 0.1223. Test Loss 0.1172
Epoch 12/600 : Average Loss 0.1175. Test Loss 0.1164
Epoch 13/600 : Average Loss 0.1148. Test Loss 0.1135
Epoch 14/600 : Average Loss 0.1122. Test Loss 0.1159
Epoch 15/600 : Average Loss 0.1113. Test Loss 0.1092
Epoch 16/600 : Average Loss 0.1107. Test Loss 0.1116
Epoch 17/600 : Average Loss 0.1102. Test Loss 0.1090
Epoch 18/600 : Average Loss 0.1078. Test Loss 0.1090
Epoch 19/600 : Average Loss 0.1111. Test Loss 0.1259
Epoch 20/600 : Average Loss 0.1097. Test Loss 0.1033
Epoch 21/600 : Average Loss 0.1054. Test Loss 0.1048
Epoch 22/600 : Average Loss 0.1059. Test Loss 0.1104
Epoch 23/600 : Average Loss 0.1037. Test Loss 0.1041
Epoch 24/600 : Average Loss 0.1033. Test Loss 0.1021
Epoch 25/600 : Average Loss 0.1024. Test Loss 0.1013
Epoch 26/600 : Average Loss 0.1048. Test Loss 0.1016
Epoch 27/600 : Average Loss 0.1008. Test Loss 0.0999
Epoch 28/600 : Average Loss 0.1014. Test Loss 0.1038
Epoch 29/600 : Average Loss 0.0993. Test Loss 0.1010
Epoch 30/600 : Average Loss 0.1003. Test Loss 0.0994
Epoch 31/600 : Average Loss 0.1005. Test Loss 0.1102
Epoch 32/600 : Average Loss 0.1072. Test Loss 0.0997
Epoch 33/600 : Average Loss 0.0987. Test Loss 0.0986
Epoch 34/600 : Average Loss 0.0981. Test Loss 0.1031
Epoch 35/600 : Average Loss 0.0966. Test Loss 0.0970
Epoch 36/600 : Average Loss 0.0983. Test Loss 0.0978
Epoch 37/600 : Average Loss 0.0963. Test Loss 0.0988
Epoch 38/600 : Average Loss 0.0948. Test Loss 0.0980
Epoch 39/600 : Average Loss 0.0952. Test Loss 0.0954
Epoch 40/600 : Average Loss 0.0948. Test Loss 0.0941
Epoch 41/600 : Average Loss 0.0934. Test Loss 0.0926
Epoch 42/600 : Average Loss 0.0947. Test Loss 0.0941
Epoch 43/600 : Average Loss 0.0935. Test Loss 0.0926
Epoch 44/600 : Average Loss 0.0958. Test Loss 0.0925
Epoch 45/600 : Average Loss 0.0935. Test Loss 0.0906
Epoch 46/600 : Average Loss 0.0926. Test Loss 0.0923
Epoch 47/600 : Average Loss 0.0913. Test Loss 0.0930
Epoch 48/600 : Average Loss 0.0915. Test Loss 0.0934
Epoch 49/600 : Average Loss 0.0934. Test Loss 0.0909
Epoch 50/600 : Average Loss 0.0922. Test Loss 0.0929
Epoch 51/600 : Average Loss 0.0912. Test Loss 0.0909
Epoch 52/600 : Average Loss 0.0898. Test Loss 0.0902
Epoch 53/600 : Average Loss 0.0920. Test Loss 0.0916
Epoch 54/600 : Average Loss 0.0898. Test Loss 0.0885
Epoch 55/600 : Average Loss 0.0903. Test Loss 0.0937
Epoch 56/600 : Average Loss 0.0895. Test Loss 0.0946
Epoch 57/600 : Average Loss 0.0883. Test Loss 0.0902
Epoch 58/600 : Average Loss 0.0895. Test Loss 0.0909
Epoch 59/600 : Average Loss 0.0888. Test Loss 0.0901
Epoch 60/600 : Average Loss 0.0892. Test Loss 0.0964
Epoch 61/600 : Average Loss 0.0885. Test Loss 0.0929
Epoch 62/600 : Average Loss 0.0881. Test Loss 0.0886
Epoch 63/600 : Average Loss 0.0892. Test Loss 0.0926
Epoch 64/600 : Average Loss 0.0872. Test Loss 0.0909
Epoch 65/600 : Average Loss 0.0858. Test Loss 0.0876
Epoch 66/600 : Average Loss 0.0875. Test Loss 0.0886
Epoch 67/600 : Average Loss 0.0888. Test Loss 0.0871
Epoch 68/600 : Average Loss 0.0873. Test Loss 0.0937
