cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.0005 epochs=3200 batch=1024 workers=8 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 1/3200 : Average Loss 0.2265. Test Loss 0.2005
Epoch 2/3200 : Average Loss 0.1984. Test Loss 0.1867
Epoch 3/3200 : Average Loss 0.1819. Test Loss 0.1732
Epoch 4/3200 : Average Loss 0.1743. Test Loss 0.1630
Epoch 5/3200 : Average Loss 0.1667. Test Loss 0.1576
Epoch 6/3200 : Average Loss 0.1609. Test Loss 0.1534
Epoch 7/3200 : Average Loss 0.1564. Test Loss 0.1489
Epoch 8/3200 : Average Loss 0.1521. Test Loss 0.1468
Epoch 9/3200 : Average Loss 0.1488. Test Loss 0.1519
Epoch 10/3200 : Average Loss 0.1453. Test Loss 0.1481
Epoch 11/3200 : Average Loss 0.1469. Test Loss 0.1447
Epoch 12/3200 : Average Loss 0.1409. Test Loss 0.1410
Epoch 13/3200 : Average Loss 0.1389. Test Loss 0.1409
Epoch 14/3200 : Average Loss 0.1360. Test Loss 0.1409
Epoch 15/3200 : Average Loss 0.1339. Test Loss 0.1401
Epoch 16/3200 : Average Loss 0.1326. Test Loss 0.1340
Epoch 17/3200 : Average Loss 0.1328. Test Loss 0.1296
Epoch 18/3200 : Average Loss 0.1305. Test Loss 0.1321
Epoch 19/3200 : Average Loss 0.1282. Test Loss 0.1250
Epoch 20/3200 : Average Loss 0.1280. Test Loss 0.1263
Epoch 21/3200 : Average Loss 0.1293. Test Loss 0.1279
Epoch 22/3200 : Average Loss 0.1243. Test Loss 0.1278
Epoch 23/3200 : Average Loss 0.1264. Test Loss 0.1281
Epoch 24/3200 : Average Loss 0.1250. Test Loss 0.1232
Epoch 25/3200 : Average Loss 0.1231. Test Loss 0.1223
Epoch 26/3200 : Average Loss 0.1230. Test Loss 0.1219
Epoch 27/3200 : Average Loss 0.1201. Test Loss 0.1205
Epoch 28/3200 : Average Loss 0.1216. Test Loss 0.1189
Epoch 29/3200 : Average Loss 0.1202. Test Loss 0.1223
Epoch 30/3200 : Average Loss 0.1197. Test Loss 0.1177
Epoch 31/3200 : Average Loss 0.1185. Test Loss 0.1192
Epoch 32/3200 : Average Loss 0.1190. Test Loss 0.1167
Epoch 33/3200 : Average Loss 0.1173. Test Loss 0.1157
Epoch 34/3200 : Average Loss 0.1166. Test Loss 0.1208
Epoch 35/3200 : Average Loss 0.1157. Test Loss 0.1186
Epoch 36/3200 : Average Loss 0.1175. Test Loss 0.1189
Epoch 37/3200 : Average Loss 0.1184. Test Loss 0.1159
Epoch 38/3200 : Average Loss 0.1136. Test Loss 0.1157
Epoch 39/3200 : Average Loss 0.1146. Test Loss 0.1141
Epoch 40/3200 : Average Loss 0.1150. Test Loss 0.1132
Epoch 41/3200 : Average Loss 0.1138. Test Loss 0.1146
Epoch 42/3200 : Average Loss 0.1122. Test Loss 0.1120
Epoch 43/3200 : Average Loss 0.1129. Test Loss 0.1127
Epoch 44/3200 : Average Loss 0.1132. Test Loss 0.1105
Epoch 45/3200 : Average Loss 0.1104. Test Loss 0.1113
Epoch 46/3200 : Average Loss 0.1120. Test Loss 0.1140
Epoch 47/3200 : Average Loss 0.1110. Test Loss 0.1093
Epoch 48/3200 : Average Loss 0.1103. Test Loss 0.1099
Epoch 49/3200 : Average Loss 0.1105. Test Loss 0.1107
Epoch 50/3200 : Average Loss 0.1095. Test Loss 0.1099
Epoch 51/3200 : Average Loss 0.1103. Test Loss 0.1100
Epoch 52/3200 : Average Loss 0.1082. Test Loss 0.1113
Epoch 53/3200 : Average Loss 0.1079. Test Loss 0.1067
Epoch 54/3200 : Average Loss 0.1077. Test Loss 0.1080
Epoch 55/3200 : Average Loss 0.1079. Test Loss 0.1094
Epoch 56/3200 : Average Loss 0.1082. Test Loss 0.1064
Epoch 57/3200 : Average Loss 0.1067. Test Loss 0.1100
Epoch 58/3200 : Average Loss 0.1058. Test Loss 0.1073
Epoch 59/3200 : Average Loss 0.1053. Test Loss 0.1065
Epoch 60/3200 : Average Loss 0.1060. Test Loss 0.1052
Epoch 61/3200 : Average Loss 0.1051. Test Loss 0.1076
Epoch 62/3200 : Average Loss 0.1066. Test Loss 0.1120
Epoch 63/3200 : Average Loss 0.1076. Test Loss 0.1075
Epoch 64/3200 : Average Loss 0.1060. Test Loss 0.1143
Epoch 65/3200 : Average Loss 0.1040. Test Loss 0.1041
Epoch 66/3200 : Average Loss 0.1048. Test Loss 0.1178
Epoch 67/3200 : Average Loss 0.1060. Test Loss 0.1060
