cuda:0 (1 GPUs)
Train Size: 1188, Vali Size: 132, Test Size: 0

=== DAPT seed=3431 | train=1188 vali=132 | start=saved/pretrain_base_merged_10_20_9cls_align/limu_bert_x_align_dapt_5e-4_3200_seed3431 | lr=5e-05 epochs=1500 batch=128 workers=0 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/pretrain_base_merged_10_20_9cls_align/limu_bert_x_align_dapt_5e-4_3200_seed3431
Epoch 1/1500 : Average Loss 0.0726. Test Loss 0.0753
Epoch 2/1500 : Average Loss 0.0729. Test Loss 0.0697
Epoch 3/1500 : Average Loss 0.0723. Test Loss 0.0638
Epoch 4/1500 : Average Loss 0.0718. Test Loss 0.0773
Epoch 5/1500 : Average Loss 0.0650. Test Loss 0.0739
Epoch 6/1500 : Average Loss 0.0747. Test Loss 0.0571
Epoch 7/1500 : Average Loss 0.0710. Test Loss 0.0777
Epoch 8/1500 : Average Loss 0.0724. Test Loss 0.0680
Epoch 9/1500 : Average Loss 0.0696. Test Loss 0.0641
Epoch 10/1500 : Average Loss 0.0709. Test Loss 0.0632
Epoch 11/1500 : Average Loss 0.0663. Test Loss 0.0542
Epoch 12/1500 : Average Loss 0.0684. Test Loss 0.0697
Epoch 13/1500 : Average Loss 0.0673. Test Loss 0.0531
Epoch 14/1500 : Average Loss 0.0679. Test Loss 0.0635
Epoch 15/1500 : Average Loss 0.0660. Test Loss 0.0568
Epoch 16/1500 : Average Loss 0.0696. Test Loss 0.0561
Epoch 17/1500 : Average Loss 0.0675. Test Loss 0.0576
Epoch 18/1500 : Average Loss 0.0691. Test Loss 0.0672
Epoch 19/1500 : Average Loss 0.0641. Test Loss 0.0613
Epoch 20/1500 : Average Loss 0.0644. Test Loss 0.0708
Epoch 21/1500 : Average Loss 0.0636. Test Loss 0.0585
Epoch 22/1500 : Average Loss 0.0708. Test Loss 0.0634
Epoch 23/1500 : Average Loss 0.0609. Test Loss 0.0570
Epoch 24/1500 : Average Loss 0.0625. Test Loss 0.0626
Epoch 25/1500 : Average Loss 0.0676. Test Loss 0.0703
Epoch 26/1500 : Average Loss 0.0651. Test Loss 0.0578
Epoch 27/1500 : Average Loss 0.0676. Test Loss 0.0641
Epoch 28/1500 : Average Loss 0.0644. Test Loss 0.0603
Epoch 29/1500 : Average Loss 0.0633. Test Loss 0.0561
Epoch 30/1500 : Average Loss 0.0627. Test Loss 0.0514
Epoch 31/1500 : Average Loss 0.0626. Test Loss 0.0535
Epoch 32/1500 : Average Loss 0.0642. Test Loss 0.0672
Epoch 33/1500 : Average Loss 0.0689. Test Loss 0.0449
Epoch 34/1500 : Average Loss 0.0662. Test Loss 0.0588
Epoch 35/1500 : Average Loss 0.0667. Test Loss 0.0625
Epoch 36/1500 : Average Loss 0.0622. Test Loss 0.0531
Epoch 37/1500 : Average Loss 0.0631. Test Loss 0.0540
Epoch 38/1500 : Average Loss 0.0649. Test Loss 0.0623
Epoch 39/1500 : Average Loss 0.0603. Test Loss 0.0575
Epoch 40/1500 : Average Loss 0.0645. Test Loss 0.0711
Epoch 41/1500 : Average Loss 0.0591. Test Loss 0.0569
Epoch 42/1500 : Average Loss 0.0638. Test Loss 0.0488
