((.venv) ) (main) root@C.41162191:/workspace/LIMU-BERT-Public$ python pretrain_dapt.py v3 merged 10_20_merged_9cls     -f saved/bertx/limu_bert_x     --seeds 3431 --dapt_ -- 0
 --ddaapdapt_lr 1e-4 -g 0
cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.0001 epochs=600 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 1/600 : Average Loss 0.2590. Test Loss 0.2319
Epoch 2/600 : Average Loss 0.2252. Test Loss 0.2146
Epoch 3/600 : Average Loss 0.2077. Test Loss 0.2000
Epoch 4/600 : Average Loss 0.1967. Test Loss 0.1887
Epoch 5/600 : Average Loss 0.1901. Test Loss 0.1785
Epoch 6/600 : Average Loss 0.1833. Test Loss 0.1800
Epoch 7/600 : Average Loss 0.1798. Test Loss 0.1754
Epoch 8/600 : Average Loss 0.1738. Test Loss 0.1729
Epoch 9/600 : Average Loss 0.1728. Test Loss 0.1670
Epoch 10/600 : Average Loss 0.1698. Test Loss 0.1647
Epoch 11/600 : Average Loss 0.1659. Test Loss 0.1646
Epoch 12/600 : Average Loss 0.1620. Test Loss 0.1634
Epoch 13/600 : Average Loss 0.1601. Test Loss 0.1592
Epoch 14/600 : Average Loss 0.1586. Test Loss 0.1607
Epoch 15/600 : Average Loss 0.1560. Test Loss 0.1575
Epoch 16/600 : Average Loss 0.1541. Test Loss 0.1547
Epoch 17/600 : Average Loss 0.1523. Test Loss 0.1534
Epoch 18/600 : Average Loss 0.1502. Test Loss 0.1498
Epoch 19/600 : Average Loss 0.1513. Test Loss 0.1481
Epoch 20/600 : Average Loss 0.1495. Test Loss 0.1441
Epoch 21/600 : Average Loss 0.1476. Test Loss 0.1456
Epoch 22/600 : Average Loss 0.1472. Test Loss 0.1528
Epoch 23/600 : Average Loss 0.1448. Test Loss 0.1458
Epoch 24/600 : Average Loss 0.1430. Test Loss 0.1432
Epoch 25/600 : Average Loss 0.1428. Test Loss 0.1431
Epoch 26/600 : Average Loss 0.1434. Test Loss 0.1422
Epoch 27/600 : Average Loss 0.1415. Test Loss 0.1370
Epoch 28/600 : Average Loss 0.1408. Test Loss 0.1389
Epoch 29/600 : Average Loss 0.1384. Test Loss 0.1419
Epoch 30/600 : Average Loss 0.1377. Test Loss 0.1341
Epoch 31/600 : Average Loss 0.1388. Test Loss 0.1354
Epoch 32/600 : Average Loss 0.1379. Test Loss 0.1387
Epoch 33/600 : Average Loss 0.1357. Test Loss 0.1361
Epoch 34/600 : Average Loss 0.1334. Test Loss 0.1384
Epoch 35/600 : Average Loss 0.1340. Test Loss 0.1332
Epoch 36/600 : Average Loss 0.1339. Test Loss 0.1326
Epoch 37/600 : Average Loss 0.1340. Test Loss 0.1344
Epoch 38/600 : Average Loss 0.1313. Test Loss 0.1346
Epoch 39/600 : Average Loss 0.1319. Test Loss 0.1311
Epoch 40/600 : Average Loss 0.1313. Test Loss 0.1284
Epoch 41/600 : Average Loss 0.1300. Test Loss 0.1286
Epoch 42/600 : Average Loss 0.1301. Test Loss 0.1304
Epoch 43/600 : Average Loss 0.1284. Test Loss 0.1270
Epoch 44/600 : Average Loss 0.1304. Test Loss 0.1289
Epoch 45/600 : Average Loss 0.1291. Test Loss 0.1269
Epoch 46/600 : Average Loss 0.1277. Test Loss 0.1271
Epoch 47/600 : Average Loss 0.1268. Test Loss 0.1274
Epoch 48/600 : Average Loss 0.1271. Test Loss 0.1259
Epoch 49/600 : Average Loss 0.1267. Test Loss 0.1251
Epoch 50/600 : Average Loss 0.1263. Test Loss 0.1256
Epoch 51/600 : Average Loss 0.1254. Test Loss 0.1243
Epoch 52/600 : Average Loss 0.1239. Test Loss 0.1252
Epoch 53/600 : Average Loss 0.1258. Test Loss 0.1235
Epoch 54/600 : Average Loss 0.1248. Test Loss 0.1220
Epoch 55/600 : Average Loss 0.1246. Test Loss 0.1250
Epoch 56/600 : Average Loss 0.1234. Test Loss 0.1254
Epoch 57/600 : Average Loss 0.1216. Test Loss 0.1228
Epoch 58/600 : Average Loss 0.1241. Test Loss 0.1227
Epoch 59/600 : Average Loss 0.1217. Test Loss 0.1212
Epoch 60/600 : Average Loss 0.1214. Test Loss 0.1238
Epoch 61/600 : Average Loss 0.1208. Test Loss 0.1222
Epoch 62/600 : Average Loss 0.1207. Test Loss 0.1177
Epoch 63/600 : Average Loss 0.1210. Test Loss 0.1220
Epoch 64/600 : Average Loss 0.1188. Test Loss 0.1248
Epoch 65/600 : Average Loss 0.1190. Test Loss 0.1195
Epoch 66/600 : Average Loss 0.1199. Test Loss 0.1212
Epoch 67/600 : Average Loss 0.1202. Test Loss 0.1188
Epoch 68/600 : Average Loss 0.1186. Test Loss 0.1188
Epoch 69/600 : Average Loss 0.1195. Test Loss 0.1183
Epoch 70/600 : Average Loss 0.1184. Test Loss 0.1188
Epoch 71/600 : Average Loss 0.1181. Test Loss 0.1178
Epoch 72/600 : Average Loss 0.1174. Test Loss 0.1163
Epoch 73/600 : Average Loss 0.1167. Test Loss 0.1161
Epoch 74/600 : Average Loss 0.1177. Test Loss 0.1182
Epoch 75/600 : Average Loss 0.1174. Test Loss 0.1195
Epoch 76/600 : Average Loss 0.1176. Test Loss 0.1180
Epoch 77/600 : Average Loss 0.1167. Test Loss 0.1130
Epoch 78/600 : Average Loss 0.1143. Test Loss 0.1181
Epoch 79/600 : Average Loss 0.1157. Test Loss 0.1168
Epoch 80/600 : Average Loss 0.1154. Test Loss 0.1153
Epoch 81/600 : Average Loss 0.1163. Test Loss 0.1152
Epoch 82/600 : Average Loss 0.1145. Test Loss 0.1137
Epoch 83/600 : Average Loss 0.1162. Test Loss 0.1175
Epoch 84/600 : Average Loss 0.1145. Test Loss 0.1143
Epoch 85/600 : Average Loss 0.1139. Test Loss 0.1155
Epoch 86/600 : Average Loss 0.1130. Test Loss 0.1130
Epoch 87/600 : Average Loss 0.1136. Test Loss 0.1130
Epoch 88/600 : Average Loss 0.1130. Test Loss 0.1139
Epoch 89/600 : Average Loss 0.1128. Test Loss 0.1148
Epoch 90/600 : Average Loss 0.1148. Test Loss 0.1138
Epoch 91/600 : Average Loss 0.1130. Test Loss 0.1136
